booking_key,booking_id,guest_key,property_key,channel_key,booking_date,check_in_date,check_out_date,cancel_date,stay_type,status,is_cancelled,nights,lead_time_days,net_room_amount_inr,discount_inr,commission_inr,nightly_rate_inr,has_business_date_drift
18,BK0000018,3921,2,2,2025-01-20,2025-02-02,2025-02-03,,nightly,checked_out,False,1,13,4110.48,0.00,698.78,4110.48,False
19,BK0000019,3933,1,2,2025-01-31,2025-02-03,2025-02-04,,nightly,checked_out,False,1,3,5034.52,0.00,855.87,5034.52,False
20,BK0000020,8000,1,1,2025-01-31,2025-02-03,2025-02-04,,nightly,checked_out,False,1,3,5306.16,0.00,1061.23,5306.16,False
21,BK0000021,8834,1,5,2025-01-30,2025-02-03,2025-02-05,,nightly,checked_out,False,2,4,8531.02,0.00,0.00,4265.51,False
22,BK0000022,3543,1,6,2025-02-01,2025-02-03,2025-02-21,,nightly,checked_out,False,18,2,66909.56,3521.56,0.00,3717.20,False
23,BK0000023,6526,2,6,2025-01-21,2025-02-03,2025-02-09,,nightly,checked_out,False,6,13,31033.20,0.00,0.00,5172.20,False
24,BK0000024,7154,2,1,2024-12-26,2025-02-03,2025-02-04,2025-01-18,nightly,cancelled,True,1,39,5027.97,0.00,1005.59,5027.97,False
25,BK0000025,5624,2,5,2025-01-19,2025-02-03,2025-02-04,,nightly,checked_out,False,1,15,4475.02,0.00,0.00,4475.02,False
26,BK0000026,2176,2,1,2025-01-26,2025-02-03,2025-02-05,,nightly,no_show,False,2,8,9117.68,0.00,1823.54,4558.84,False
27,BK0000027,3342,2,1,2025-01-16,2025-02-03,2025-02-06,,nightly,checked_out,False,3,18,19869.63,1045.77,3973.93,6623.21,False
28,BK0000028,5491,2,6,2025-02-01,2025-02-03,2025-02-05,,nightly,checked_out,False,2,2,7262.32,0.00,0.00,3631.16,False
29,BK0000029,4352,2,7,2025-02-02,2025-02-03,2025-02-03,,microstay,checked_out,False,0,1,1009.94,0.00,121.19,1009.94,False
30,BK0000030,6608,2,4,2025-01-25,2025-02-03,2025-02-10,,nightly,checked_out,False,7,9,29868.30,0.00,4480.24,4266.90,False
31,BK0000031,7258,1,1,2025-01-27,2025-02-04,2025-02-05,,nightly,checked_out,False,1,8,4449.05,0.00,889.81,4449.05,False
32,BK0000032,4099,1,1,2025-02-02,2025-02-04,2025-02-06,,nightly,checked_out,False,2,2,8709.54,0.00,1741.91,4354.77,False
33,BK0000033,1848,1,1,2025-01-24,2025-02-04,2025-02-07,2025-01-27,nightly,cancelled,True,3,11,12419.49,0.00,2483.90,4139.83,False
34,BK0000034,5586,1,8,2025-02-03,2025-02-04,2025-02-08,,nightly,checked_out,False,4,1,18186.72,0.00,0.00,4546.68,False
35,BK0000035,5933,1,6,2025-01-26,2025-02-04,2025-02-14,,nightly,checked_out,False,10,9,71376.80,0.00,0.00,7137.68,False
36,BK0000036,6866,2,4,2025-01-20,2025-02-04,2025-02-09,,nightly,no_show,False,5,15,17549.80,0.00,2632.47,3509.96,False
37,BK0000037,6499,2,3,2025-01-02,2025-02-04,2025-02-05,2025-02-02,nightly,cancelled,True,1,33,4511.26,0.00,812.03,4511.26,False
38,BK0000038,6758,2,1,2025-01-31,2025-02-04,2025-02-08,,nightly,checked_out,False,4,4,13683.50,720.18,2736.70,3420.88,False
39,BK0000039,1500,2,1,2024-12-21,2025-02-04,2025-02-05,2025-02-02,nightly,cancelled,True,1,45,5152.79,0.00,1030.56,5152.79,False
40,BK0000040,7600,2,7,2025-02-03,2025-02-04,2025-02-04,,microstay,checked_out,False,0,1,2145.78,0.00,257.49,2145.78,False
41,BK0000041,9193,2,5,2025-01-31,2025-02-04,2025-02-05,,nightly,checked_out,False,1,4,4178.72,464.30,0.00,4178.72,False
42,BK0000042,9093,1,6,2025-01-28,2025-02-05,2025-02-24,,nightly,checked_out,False,19,8,85336.79,0.00,0.00,4491.41,False
43,BK0000043,5089,1,1,2025-02-02,2025-02-05,2025-02-09,,nightly,checked_out,False,4,3,12458.41,1384.27,2491.68,3114.60,False
44,BK0000044,6162,1,5,2025-02-01,2025-02-05,2025-02-08,,nightly,checked_out,False,3,4,12552.57,660.66,0.00,4184.19,False
45,BK0000045,4036,1,2,2025-02-01,2025-02-05,2025-02-06,,nightly,checked_out,False,1,4,4461.84,234.83,758.51,4461.84,False
46,BK0000046,3664,1,4,2025-01-08,2025-02-05,2025-02-08,,nightly,checked_out,False,3,28,10931.28,0.00,1639.69,3643.76,False
47,BK0000047,6991,1,1,2025-01-25,2025-02-05,2025-02-08,,nightly,checked_out,False,3,11,12149.64,0.00,2429.93,4049.88,False
48,BK0000048,1326,1,6,2025-02-02,2025-02-05,2025-02-26,,nightly,checked_out,False,21,3,66086.17,3478.22,0.00,3146.96,False
49,BK0000049,756,1,1,2025-01-20,2025-02-05,2025-02-06,,nightly,checked_out,False,1,16,5031.68,0.00,1006.34,5031.68,False
50,BK0000050,990,2,5,2025-02-01,2025-02-05,2025-02-06,,nightly,checked_out,False,1,4,4312.69,0.00,0.00,4312.69,False
51,BK0000051,9030,2,1,2025-01-30,2025-02-05,2025-02-09,,nightly,checked_out,False,4,6,28153.44,0.00,5630.69,7038.36,False
52,BK0000052,1179,2,6,2025-02-03,2025-02-05,2025-02-09,,nightly,checked_out,False,4,2,13662.32,0.00,0.00,3415.58,False
53,BK0000053,7140,2,5,2025-01-26,2025-02-05,2025-02-07,,nightly,checked_out,False,2,10,9085.62,0.00,0.00,4542.81,False
54,BK0000054,8713,2,2,2025-01-27,2025-02-05,2025-02-06,,nightly,checked_out,False,1,9,4381.98,0.00,744.94,4381.98,False
55,BK0000055,2596,2,1,2025-01-27,2025-02-05,2025-02-07,,nightly,checked_out,False,2,9,7142.60,1260.46,1428.52,3571.30,False
56,BK0000056,4306,1,4,2025-01-12,2025-02-06,2025-02-08,,nightly,checked_out,False,2,25,7804.16,0.00,1170.62,3902.08,False
57,BK0000057,7020,1,1,2025-01-25,2025-02-06,2025-02-10,,nightly,checked_out,False,4,12,19475.08,1025.00,3895.02,4868.77,False
58,BK0000058,1438,1,1,2025-01-14,2025-02-06,2025-02-11,,nightly,checked_out,False,5,23,25308.65,0.00,5061.73,5061.73,False
59,BK0000059,8081,1,5,2025-02-01,2025-02-06,2025-02-09,,nightly,checked_out,False,3,5,15238.59,0.00,0.00,5079.53,False
60,BK0000060,6968,1,2,2025-01-30,2025-02-06,2025-02-11,,nightly,checked_out,False,5,7,30582.40,5396.90,5199.01,6116.48,False
61,BK0000061,2810,1,3,2025-02-03,2025-02-06,2025-02-07,,nightly,checked_out,False,1,3,4272.82,474.76,769.11,4272.82,False
62,BK0000062,8411,1,5,2025-02-05,2025-02-06,2025-02-09,,nightly,checked_out,False,3,1,9326.99,1036.33,0.00,3109.00,False
63,BK0000063,8023,2,1,2025-01-31,2025-02-06,2025-02-08,,nightly,checked_out,False,2,6,9625.08,0.00,1925.02,4812.54,False
64,BK0000064,6259,2,7,2025-02-05,2025-02-06,2025-02-06,,microstay,checked_out,False,0,1,1152.16,60.64,138.26,1152.16,False
65,BK0000065,3599,2,6,2025-02-04,2025-02-06,2025-02-07,,nightly,checked_out,False,1,2,7079.83,0.00,0.00,7079.83,False
66,BK0000066,4555,1,2,2025-01-13,2025-02-07,2025-02-09,,nightly,checked_out,False,2,25,9486.68,0.00,1612.74,4743.34,False
67,BK0000067,6841,2,6,2025-01-30,2025-02-07,2025-02-13,,nightly,checked_out,False,6,8,22789.02,0.00,0.00,3798.17,False
68,BK0000068,697,2,2,2025-01-13,2025-02-07,2025-02-08,,nightly,checked_out,False,1,25,4159.12,0.00,707.05,4159.12,False
69,BK0000069,4081,2,6,2025-02-04,2025-02-07,2025-02-16,2025-02-05,nightly,cancelled,True,9,3,32065.02,0.00,0.00,3562.78,False
70,BK0000070,5641,1,6,2025-02-04,2025-02-08,2025-02-16,,nightly,checked_out,False,8,4,30968.56,0.00,0.00,3871.07,False
71,BK0000071,2103,1,2,2025-01-19,2025-02-08,2025-02-14,,nightly,checked_out,False,6,20,23169.06,0.00,3938.74,3861.51,False
72,BK0000072,6507,2,2,2025-01-26,2025-02-08,2025-02-10,,nightly,checked_out,False,2,13,7833.76,0.00,1331.74,3916.88,False
73,BK0000073,3275,2,5,2025-01-30,2025-02-08,2025-02-12,,nightly,checked_out,False,4,9,24367.88,0.00,0.00,6091.97,False
74,BK0000074,439,2,3,2025-02-02,2025-02-08,2025-02-12,,nightly,checked_out,False,4,6,12627.43,1403.05,2272.94,3156.86,False
75,BK0000075,4906,1,3,2025-01-23,2025-02-09,2025-02-12,2025-01-26,nightly,cancelled,True,3,17,11454.03,0.00,2061.73,3818.01,False
76,BK0000076,2695,1,5,2025-01-27,2025-02-09,2025-02-10,,nightly,checked_out,False,1,13,3628.18,0.00,0.00,3628.18,False
77,BK0000077,3641,1,2,2025-02-04,2025-02-09,2025-02-10,,nightly,checked_out,False,1,5,2989.05,0.00,508.14,2989.05,False
78,BK0000078,8022,2,5,2025-01-09,2025-02-09,2025-02-14,,nightly,checked_out,False,5,31,24821.30,0.00,0.00,4964.26,False
79,BK0000079,6065,2,6,2025-02-08,2025-02-09,2025-02-13,,nightly,checked_out,False,4,1,30059.36,0.00,0.00,7514.84,False
80,BK0000080,7191,2,5,2025-02-08,2025-02-09,2025-02-11,,nightly,checked_out,False,2,1,6105.17,678.35,0.00,3052.59,False
81,BK0000081,8954,2,1,2025-01-25,2025-02-09,2025-02-10,2025-01-27,nightly,cancelled,True,1,15,6041.08,0.00,1208.22,6041.08,False
82,BK0000082,8257,2,2,2025-02-04,2025-02-09,2025-02-10,2025-02-08,nightly,cancelled,True,1,5,3703.19,194.91,629.54,3703.19,False
83,BK0000083,7140,2,4,2024-11-30,2025-02-09,2025-02-12,,nightly,checked_out,False,3,71,18279.75,0.00,2741.96,6093.25,False
84,BK0000084,3338,1,6,2025-02-07,2025-02-10,2025-03-02,,nightly,checked_out,False,20,3,67015.09,3527.11,0.00,3350.75,False
85,BK0000085,6243,1,6,2025-02-06,2025-02-10,2025-02-27,,nightly,checked_out,False,17,4,67508.19,0.00,0.00,3971.07,False
86,BK0000086,4435,1,5,2025-02-04,2025-02-10,2025-02-11,,nightly,checked_out,False,1,6,4771.03,0.00,0.00,4771.03,False
87,BK0000087,6769,1,6,2025-02-05,2025-02-10,2025-03-03,,nightly,checked_out,False,21,5,81307.80,0.00,0.00,3871.80,False
88,BK0000088,9084,2,5,2025-02-06,2025-02-10,2025-02-18,,nightly,checked_out,False,8,4,30829.46,3425.50,0.00,3853.68,False
89,BK0000089,3354,2,2,2025-02-09,2025-02-10,2025-02-14,2025-02-10,nightly,cancelled,True,4,1,15223.90,801.26,2588.06,3805.98,False
90,BK0000090,4248,1,3,2025-02-01,2025-02-11,2025-02-13,,nightly,checked_out,False,2,10,9496.49,1055.17,1709.37,4748.25,False
91,BK0000091,6112,1,6,2025-02-06,2025-02-11,2025-02-14,,nightly,checked_out,False,3,5,11234.46,0.00,0.00,3744.82,False
92,BK0000092,1326,1,6,2025-02-07,2025-02-11,2025-02-15,,nightly,checked_out,False,4,4,20974.04,0.00,0.00,5243.51,False
93,BK0000093,434,1,6,2025-02-10,2025-02-11,2025-02-16,,nightly,checked_out,False,5,1,15255.72,2692.18,0.00,3051.14,False
94,BK0000094,1086,1,8,2025-02-09,2025-02-11,2025-02-12,,nightly,checked_out,False,1,2,4767.79,250.94,0.00,4767.79,False
95,BK0000095,6453,1,7,2025-02-11,2025-02-11,2025-02-11,2025-02-11,microstay,cancelled,True,0,0,1916.01,0.00,229.92,1916.01,False
96,BK0000096,5150,1,5,2025-01-31,2025-02-11,2025-02-12,,nightly,checked_out,False,1,11,5057.44,266.18,0.00,5057.44,False
97,BK0000097,2567,1,7,2025-02-11,2025-02-11,2025-02-11,,microstay,checked_out,False,0,0,1952.06,0.00,234.25,1952.06,False
98,BK0000098,2519,2,5,2025-02-09,2025-02-11,2025-02-12,,nightly,checked_out,False,1,2,3765.20,664.45,0.00,3765.20,False
99,BK0000099,5411,2,6,2025-02-04,2025-02-11,2025-02-15,,nightly,checked_out,False,4,7,13799.08,0.00,0.00,3449.77,False
100,BK0000100,7626,2,1,2025-02-03,2025-02-11,2025-02-12,,nightly,checked_out,False,1,8,3462.26,384.69,692.45,3462.26,False
101,BK0000101,2659,2,3,2025-01-27,2025-02-11,2025-02-12,,nightly,checked_out,False,1,15,4851.42,0.00,873.26,4851.42,False
102,BK0000102,6443,1,6,2025-01-29,2025-02-12,2025-03-05,,nightly,checked_out,False,21,14,111968.85,0.00,0.00,5331.85,False
103,BK0000103,2814,1,4,2025-01-30,2025-02-12,2025-02-13,,nightly,checked_out,False,1,13,4251.06,750.19,637.66,4251.06,False
104,BK0000104,1703,2,5,2025-02-08,2025-02-12,2025-02-13,,nightly,checked_out,False,1,4,3759.98,417.78,0.00,3759.98,False
105,BK0000105,7446,2,6,2025-01-29,2025-02-12,2025-03-05,,nightly,checked_out,False,21,14,73913.49,0.00,0.00,3519.69,False
106,BK0000106,4798,2,7,2025-02-12,2025-02-12,2025-02-12,,microstay,checked_out,False,0,0,2003.06,0.00,240.37,2003.06,False
107,BK0000107,5153,2,4,2025-02-06,2025-02-12,2025-02-15,,nightly,checked_out,False,3,6,11283.06,593.85,1692.46,3761.02,False
108,BK0000108,3097,2,1,2025-02-07,2025-02-12,2025-02-15,2025-02-07,nightly,cancelled,True,3,5,13610.31,0.00,2722.06,4536.77,False
109,BK0000109,5262,2,1,2024-12-18,2025-02-12,2025-02-14,,nightly,checked_out,False,2,56,8264.44,0.00,1652.89,4132.22,False
110,BK0000110,6205,1,1,2025-01-01,2025-02-13,2025-02-14,,nightly,checked_out,False,1,43,4436.20,492.91,887.24,4436.20,False
111,BK0000111,7484,1,6,2025-01-31,2025-02-13,2025-02-14,,nightly,checked_out,False,1,13,4361.37,769.65,0.00,4361.37,False
112,BK0000112,8793,1,5,2025-02-02,2025-02-13,2025-02-18,,nightly,checked_out,False,5,11,33783.45,0.00,0.00,6756.69,False
113,BK0000113,1555,1,1,2025-02-08,2025-02-13,2025-02-14,2025-02-10,nightly,cancelled,True,1,5,4204.26,0.00,840.85,4204.26,False
114,BK0000114,1838,2,1,2025-01-27,2025-02-13,2025-02-17,,nightly,checked_out,False,4,17,27391.20,1441.64,5478.24,6847.80,False
115,BK0000115,8358,2,6,2025-02-08,2025-02-13,2025-02-25,,nightly,checked_out,False,12,5,82763.52,0.00,0.00,6896.96,False
116,BK0000116,5250,2,5,2025-01-25,2025-02-13,2025-02-14,,nightly,checked_out,False,1,19,3984.52,209.71,0.00,3984.52,False
117,BK0000117,5812,2,1,2025-02-10,2025-02-13,2025-02-14,,nightly,checked_out,False,1,3,4256.93,0.00,851.39,4256.93,False
118,BK0000118,1019,2,6,2025-01-28,2025-02-13,2025-02-23,,nightly,checked_out,False,10,16,49352.50,0.00,0.00,4935.25,False
119,BK0000119,6012,1,2,2025-02-07,2025-02-14,2025-02-15,,nightly,checked_out,False,1,7,4837.07,0.00,822.30,4837.07,False
120,BK0000120,190,1,1,2025-02-11,2025-02-14,2025-02-16,2025-02-14,nightly,cancelled,True,2,3,7976.14,0.00,1595.23,3988.07,False
121,BK0000121,8700,2,2,2025-02-07,2025-02-14,2025-02-18,,nightly,checked_out,False,4,7,15614.08,0.00,2654.39,3903.52,False
122,BK0000122,7480,1,6,2025-02-13,2025-02-15,2025-02-18,,nightly,checked_out,False,3,2,13108.17,0.00,0.00,4369.39,False
123,BK0000123,7160,1,2,2025-01-26,2025-02-15,2025-02-16,,nightly,checked_out,False,1,20,6636.52,0.00,1128.21,6636.52,False
124,BK0000124,8500,1,7,2025-02-14,2025-02-15,2025-02-15,,microstay,checked_out,False,0,1,1094.43,0.00,131.33,1094.43,False
125,BK0000125,3265,1,2,2025-02-06,2025-02-15,2025-02-16,,nightly,checked_out,False,1,9,4425.91,232.94,752.40,4425.91,False
126,BK0000126,8016,2,2,2024-12-10,2025-02-15,2025-02-16,,nightly,checked_out,False,1,67,3210.66,0.00,545.81,3210.66,False
127,BK0000127,6884,2,5,2025-02-10,2025-02-15,2025-02-18,,nightly,checked_out,False,3,5,12365.64,0.00,0.00,4121.88,False
128,BK0000128,3321,2,8,2025-02-15,2025-02-15,2025-02-16,,nightly,checked_out,False,1,0,4466.51,235.08,0.00,4466.51,False
129,BK0000129,2210,1,5,2025-02-15,2025-02-16,2025-02-19,,nightly,checked_out,False,3,1,11559.03,608.37,0.00,3853.01,False
130,BK0000130,8750,2,4,2024-12-14,2025-02-16,2025-02-17,,nightly,checked_out,False,1,64,3849.15,0.00,577.37,3849.15,False
131,BK0000131,7259,2,5,2025-02-12,2025-02-16,2025-02-18,,nightly,checked_out,False,2,4,6545.54,727.28,0.00,3272.77,False
132,BK0000132,8577,2,2,2025-01-27,2025-02-16,2025-02-20,,nightly,checked_out,False,4,20,12347.21,1371.91,2099.03,3086.80,False
133,BK0000133,2981,2,5,2025-02-08,2025-02-16,2025-02-21,,nightly,checked_out,False,5,8,20732.70,0.00,0.00,4146.54,False
134,BK0000134,730,1,6,2025-02-13,2025-02-17,2025-02-20,,nightly,checked_out,False,3,4,12349.50,0.00,0.00,4116.50,False
135,BK0000135,2487,1,6,2025-02-11,2025-02-17,2025-03-06,,nightly,checked_out,False,17,6,64475.56,0.00,0.00,3792.68,False
136,BK0000136,1736,1,2,2025-02-05,2025-02-17,2025-02-18,,nightly,checked_out,False,1,12,4871.78,0.00,828.20,4871.78,False
137,BK0000137,3676,1,1,2025-02-12,2025-02-17,2025-02-19,2025-02-13,nightly,cancelled,True,2,5,8189.34,0.00,1637.87,4094.67,False
138,BK0000138,4567,2,5,2025-02-07,2025-02-17,2025-02-18,,nightly,checked_out,False,1,10,5186.57,0.00,0.00,5186.57,False
139,BK0000139,6934,2,6,2025-02-15,2025-02-17,2025-03-04,2025-02-15,nightly,cancelled,True,15,2,79362.00,0.00,0.00,5290.80,False
140,BK0000140,4422,2,1,2025-02-02,2025-02-17,2025-02-19,2025-02-09,nightly,cancelled,True,2,15,6757.40,0.00,1351.48,3378.70,False
141,BK0000141,2411,2,5,2025-02-12,2025-02-17,2025-02-18,,nightly,checked_out,False,1,5,6877.97,0.00,0.00,6877.97,False
142,BK0000142,2161,2,3,2025-01-16,2025-02-17,2025-02-18,2025-02-01,nightly,cancelled,True,1,32,4489.76,236.30,808.16,4489.76,False
143,BK0000143,7432,1,2,2025-01-02,2025-02-18,2025-02-24,,nightly,checked_out,False,6,47,30494.22,0.00,5184.02,5082.37,False
144,BK0000144,3652,2,1,2025-02-12,2025-02-18,2025-02-24,,nightly,checked_out,False,6,6,21407.16,0.00,4281.43,3567.86,False
145,BK0000145,4997,2,7,2025-02-17,2025-02-18,2025-02-18,,microstay,checked_out,False,0,1,1435.55,75.56,172.27,1435.55,False
146,BK0000146,5153,2,1,2025-01-23,2025-02-18,2025-02-19,,nightly,checked_out,False,1,26,4218.67,0.00,843.73,4218.67,False
147,BK0000147,4974,2,3,2025-02-11,2025-02-18,2025-02-23,,nightly,checked_out,False,5,7,23826.75,0.00,4288.81,4765.35,False
148,BK0000148,801,2,7,2025-02-17,2025-02-18,2025-02-18,,microstay,checked_out,False,0,1,2361.81,0.00,283.42,2361.81,False
149,BK0000149,7542,1,4,2025-02-13,2025-02-19,2025-02-27,,nightly,checked_out,False,8,6,30069.04,0.00,4510.36,3758.63,False
150,BK0000150,4248,1,3,2025-02-14,2025-02-19,2025-02-20,2025-02-16,nightly,cancelled,True,1,5,5380.51,0.00,968.49,5380.51,False
151,BK0000151,5729,1,3,2025-02-08,2025-02-19,2025-02-20,,nightly,checked_out,False,1,11,4741.62,0.00,853.49,4741.62,False
152,BK0000152,4739,1,1,2025-02-17,2025-02-19,2025-02-21,,nightly,checked_out,False,2,2,14609.60,0.00,2921.92,7304.80,False
153,BK0000153,7020,2,1,2025-01-30,2025-02-19,2025-02-21,,nightly,checked_out,False,2,20,16463.00,0.00,3292.60,8231.50,False
154,BK0000154,6047,2,7,2025-02-18,2025-02-19,2025-02-19,,microstay,checked_out,False,0,1,1555.78,0.00,186.69,1555.78,False
155,BK0000155,8114,1,2,2025-02-18,2025-02-20,2025-02-22,,nightly,checked_out,False,2,2,8764.32,0.00,1489.93,4382.16,False
156,BK0000156,3726,1,8,2025-02-20,2025-02-20,2025-02-21,,nightly,checked_out,False,1,0,3655.99,406.22,0.00,3655.99,False
157,BK0000157,313,1,2,2025-02-06,2025-02-20,2025-02-22,2025-02-19,nightly,cancelled,True,2,14,8839.30,0.00,1502.68,4419.65,False
158,BK0000158,5133,1,2,2025-02-09,2025-02-20,2025-02-22,2025-02-20,nightly,cancelled,True,2,11,7840.08,412.64,1332.81,3920.04,False
159,BK0000159,5291,2,2,2025-01-23,2025-02-20,2025-02-21,2025-01-24,nightly,cancelled,True,1,28,4879.62,0.00,829.54,4879.62,False
160,BK0000160,2709,2,2,2025-01-01,2025-02-20,2025-02-21,,nightly,checked_out,False,1,50,3757.63,0.00,638.80,3757.63,False
161,BK0000161,2051,2,7,2025-02-20,2025-02-20,2025-02-20,,microstay,checked_out,False,0,0,1216.15,0.00,145.94,1216.15,False
162,BK0000162,1385,2,1,2025-02-02,2025-02-20,2025-02-25,2025-02-17,nightly,cancelled,True,5,18,34892.55,1836.45,6978.51,6978.51,False
163,BK0000163,587,2,2,2025-01-16,2025-02-20,2025-02-23,,nightly,checked_out,False,3,35,14453.77,760.73,2457.14,4817.92,False
164,BK0000164,1298,2,2,2025-02-18,2025-02-20,2025-02-21,,nightly,checked_out,False,1,2,4405.81,231.88,748.99,4405.81,False
165,BK0000165,2774,1,1,2025-01-28,2025-02-21,2025-02-22,,nightly,checked_out,False,1,24,6441.93,0.00,1288.39,6441.93,False
166,BK0000166,4360,1,1,2025-02-10,2025-02-21,2025-02-22,,nightly,checked_out,False,1,11,6635.23,0.00,1327.05,6635.23,False
167,BK0000167,3136,1,2,2025-02-17,2025-02-21,2025-02-24,,nightly,checked_out,False,3,4,12611.40,0.00,2143.94,4203.80,False
168,BK0000168,7586,2,6,2025-02-16,2025-02-21,2025-02-23,,nightly,checked_out,False,2,5,8093.68,425.98,0.00,4046.84,False
169,BK0000169,1652,2,2,2025-02-01,2025-02-21,2025-02-22,,nightly,checked_out,False,1,20,4587.48,241.45,779.87,4587.48,False
170,BK0000170,3338,2,4,2025-01-17,2025-02-21,2025-02-28,2025-02-09,nightly,cancelled,True,7,35,34179.87,1798.94,5126.98,4882.84,False
171,BK0000171,2780,1,5,2025-02-16,2025-02-22,2025-02-23,,nightly,checked_out,False,1,6,3915.79,0.00,0.00,3915.79,False
172,BK0000172,8980,2,3,2025-02-17,2025-02-22,2025-02-23,,nightly,checked_out,False,1,5,3534.23,392.69,636.16,3534.23,False
173,BK0000173,5975,2,7,2025-02-22,2025-02-22,2025-02-22,,microstay,checked_out,False,0,0,886.78,46.67,106.41,886.78,False
174,BK0000174,6172,2,5,2025-02-19,2025-02-22,2025-03-01,,nightly,checked_out,False,7,3,28850.50,0.00,0.00,4121.50,False
175,BK0000175,8197,1,2,2025-02-15,2025-02-23,2025-02-24,,nightly,checked_out,False,1,8,6102.19,0.00,1037.37,6102.19,False
176,BK0000176,7364,1,7,2025-02-23,2025-02-23,2025-02-23,,microstay,checked_out,False,0,0,1363.14,0.00,163.58,1363.14,False
177,BK0000177,1279,2,2,2025-01-26,2025-02-23,2025-02-24,,nightly,checked_out,False,1,28,7168.20,0.00,1218.59,7168.20,False
178,BK0000178,863,2,1,2025-02-08,2025-02-23,2025-02-24,,nightly,checked_out,False,1,15,4961.01,0.00,992.20,4961.01,False
179,BK0000179,3321,2,2,2025-01-26,2025-02-23,2025-02-26,,nightly,checked_out,False,3,28,18630.63,0.00,3167.21,6210.21,False
180,BK0000180,1271,2,1,2025-02-12,2025-02-23,2025-02-25,,nightly,checked_out,False,2,11,9561.14,0.00,1912.23,4780.57,False
181,BK0000181,5701,2,4,2025-01-27,2025-02-23,2025-03-01,,nightly,checked_out,False,6,27,22256.52,0.00,3338.48,3709.42,False
182,BK0000182,9194,2,4,2025-02-12,2025-02-23,2025-02-25,,nightly,checked_out,False,2,11,6770.59,752.29,1015.59,3385.30,False
183,BK0000183,8128,2,1,2025-02-20,2025-02-23,2025-02-24,,nightly,checked_out,False,1,3,4219.76,0.00,843.95,4219.76,False
184,BK0000184,3480,2,2,2025-02-14,2025-02-23,2025-02-25,,nightly,checked_out,False,2,9,8911.98,990.22,1515.04,4455.99,False
185,BK0000185,2040,2,1,2025-02-01,2025-02-23,2025-02-26,2025-02-22,nightly,cancelled,True,3,22,12519.00,0.00,2503.80,4173.00,False
186,BK0000186,408,1,5,2025-02-06,2025-02-24,2025-02-25,,nightly,checked_out,False,1,18,3805.65,422.85,0.00,3805.65,False
187,BK0000187,4915,1,3,2025-02-19,2025-02-24,2025-02-28,2025-02-23,nightly,cancelled,True,4,5,20014.48,0.00,3602.61,5003.62,False
188,BK0000188,5753,1,6,2025-02-21,2025-02-24,2025-02-27,,nightly,checked_out,False,3,3,14713.07,774.37,0.00,4904.36,False
