request_key,request_id,property_key,request_type_key,category,subcategory,owning_team,request_date,resolved_date,created_hour_ist,day_part_ist,priority,status,channel,sla_minutes,resolution_minutes,first_response_minutes,is_sla_breached,reopened_count,csat_score
53,SR0000054,1,7,Maintenance,Plumbing,maintenance,2026-04-13,2026-04-13,10,morning,P2,closed,front_desk,180,54,17.0,False,0,
54,SR0000055,1,3,Housekeeping,Late checkout clean,housekeeping,2026-04-28,2026-04-28,7,morning,P2,closed,whatsapp,90,84,18.0,False,0,
55,SR0000056,1,7,Maintenance,Plumbing,maintenance,2026-05-20,2026-05-20,11,morning,P2,closed,whatsapp,180,269,79.0,True,0,
56,SR0000057,1,4,Maintenance,AC not cooling,maintenance,2026-05-23,2026-05-23,9,morning,P1,closed,whatsapp,120,56,16.0,False,0,4.0
57,SR0000058,1,10,Billing,Incorrect folio,front_office,2026-05-28,2026-05-28,16,afternoon,P2,closed,whatsapp,240,80,27.0,False,0,
58,SR0000059,1,9,Front Desk,Key/access issue,front_office,2026-05-31,2026-05-31,17,afternoon,P1,closed,whatsapp,30,15,5.0,False,0,4.0
59,SR0000060,1,7,Maintenance,Plumbing,maintenance,2026-06-09,2026-06-10,23,evening,P2,closed,front_desk,180,23,5.0,False,0,
60,SR0000061,1,10,Billing,Incorrect folio,front_office,2026-06-14,2026-06-14,13,afternoon,P2,closed,whatsapp,240,356,110.0,True,0,
61,SR0000062,1,1,Housekeeping,Room not cleaned,housekeeping,2026-07-17,2026-07-17,7,morning,P2,closed,whatsapp,60,10,3.0,False,0,5.0
62,SR0000063,1,7,Maintenance,Plumbing,maintenance,2026-08-06,2026-08-06,7,morning,P2,closed,front_desk,180,143,12.0,False,0,
63,SR0000064,1,8,Front Desk,Late check-in,front_office,2025-03-03,2025-03-03,13,afternoon,P2,closed,whatsapp,30,24,8.0,False,0,
64,SR0000065,1,4,Maintenance,AC not cooling,maintenance,2025-03-06,2025-03-06,23,evening,P1,closed,whatsapp,120,43,6.0,False,0,
65,SR0000066,1,6,Maintenance,Wi-Fi down,maintenance,2025-03-24,2025-03-24,20,evening,P1,closed,phone,60,11,1.0,False,0,5.0
66,SR0000067,1,9,Front Desk,Key/access issue,front_office,2025-04-10,2025-04-10,17,afternoon,P1,closed,phone,30,57,20.0,True,0,2.0
67,SR0000068,1,10,Billing,Incorrect folio,front_office,2025-04-13,2025-04-13,13,afternoon,P2,closed,phone,240,73,18.0,False,0,5.0
68,SR0000069,1,9,Front Desk,Key/access issue,front_office,2025-04-30,2025-04-30,15,afternoon,P1,closed,whatsapp,30,5,1.0,False,0,
69,SR0000070,1,1,Housekeeping,Room not cleaned,housekeeping,2025-06-02,2025-06-02,12,afternoon,P2,closed,front_desk,60,56,6.0,False,0,4.0
70,SR0000071,1,7,Maintenance,Plumbing,maintenance,2025-06-12,2025-06-13,22,evening,P2,closed,phone,180,96,12.0,False,0,
71,SR0000072,1,3,Housekeeping,Late checkout clean,housekeeping,2025-06-19,2025-06-19,19,evening,P2,closed,front_desk,90,71,14.0,False,0,5.0
72,SR0000073,1,1,Housekeeping,Room not cleaned,housekeeping,2025-06-24,2025-06-24,16,afternoon,P2,closed,app,60,14,2.0,False,0,
73,SR0000074,1,8,Front Desk,Late check-in,front_office,2025-07-10,2025-07-10,23,evening,P2,closed,whatsapp,30,14,5.0,False,0,
74,SR0000075,1,4,Maintenance,AC not cooling,maintenance,2025-07-11,2025-07-11,9,morning,P1,closed,phone,120,73,16.0,False,0,
75,SR0000076,1,8,Front Desk,Late check-in,front_office,2025-07-17,2025-07-17,12,afternoon,P2,closed,phone,30,28,9.0,False,0,4.0
76,SR0000077,1,5,Maintenance,Hot water,maintenance,2025-07-29,2025-07-29,18,evening,P1,closed,app,90,52,6.0,False,0,
77,SR0000078,1,7,Maintenance,Plumbing,maintenance,2025-08-01,2025-08-01,18,evening,P2,closed,front_desk,180,54,12.0,False,0,
78,SR0000079,1,10,Billing,Incorrect folio,front_office,2025-08-25,2025-08-25,5,overnight,P2,closed,whatsapp,240,158,32.0,False,0,4.0
79,SR0000080,1,1,Housekeeping,Room not cleaned,housekeeping,2025-09-01,2025-09-01,10,morning,P2,closed,front_desk,60,31,11.0,False,1,5.0
80,SR0000081,1,4,Maintenance,AC not cooling,maintenance,2025-09-09,2025-09-09,9,morning,P1,closed,whatsapp,120,16,4.0,False,0,4.0
81,SR0000082,1,9,Front Desk,Key/access issue,front_office,2025-09-22,2025-09-22,14,afternoon,P1,closed,whatsapp,30,32,4.0,True,0,
82,SR0000083,1,1,Housekeeping,Room not cleaned,housekeeping,2025-09-29,2025-09-29,10,morning,P2,closed,whatsapp,60,53,15.0,False,0,
83,SR0000084,1,3,Housekeeping,Late checkout clean,housekeeping,2025-10-13,2025-10-13,17,afternoon,P2,closed,front_desk,90,73,21.0,False,0,
84,SR0000085,1,4,Maintenance,AC not cooling,maintenance,2025-11-14,2025-11-14,15,afternoon,P1,closed,phone,120,106,8.0,False,0,
85,SR0000088,1,4,Maintenance,AC not cooling,maintenance,2025-11-27,2025-11-28,23,evening,P1,closed,whatsapp,120,38,13.0,False,0,
86,SR0000089,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-12-05,2025-12-05,20,evening,P3,closed,whatsapp,45,24,5.0,False,0,4.0
87,SR0000090,1,9,Front Desk,Key/access issue,front_office,2025-12-15,2025-12-16,23,evening,P1,closed,front_desk,30,46,9.0,True,0,
88,SR0000091,1,5,Maintenance,Hot water,maintenance,2025-12-22,2025-12-23,23,evening,P1,closed,front_desk,90,93,18.0,True,0,
89,SR0000092,1,1,Housekeeping,Room not cleaned,housekeeping,2025-12-24,2025-12-24,8,morning,P2,closed,phone,60,35,10.0,False,0,
90,SR0000093,1,10,Billing,Incorrect folio,front_office,2025-12-25,2025-12-25,8,morning,P2,closed,whatsapp,240,241,26.0,True,0,
91,SR0000094,1,8,Front Desk,Late check-in,front_office,2026-01-05,2026-01-05,19,evening,P2,closed,whatsapp,30,4,1.0,False,0,
92,SR0000095,1,10,Billing,Incorrect folio,front_office,2026-01-15,2026-01-15,9,morning,P2,closed,front_desk,240,173,57.0,False,0,
93,SR0000096,1,2,Housekeeping,Extra towels/linen,housekeeping,2026-01-30,2026-01-30,9,morning,P3,closed,front_desk,45,19,4.0,False,0,
94,SR0000097,1,4,Maintenance,AC not cooling,maintenance,2026-02-06,2026-02-06,4,overnight,P1,closed,whatsapp,120,72,20.0,False,0,5.0
95,SR0000098,1,3,Housekeeping,Late checkout clean,housekeeping,2026-02-11,2026-02-11,10,morning,P2,closed,whatsapp,90,29,10.0,False,0,
96,SR0000099,1,3,Housekeeping,Late checkout clean,housekeeping,2026-02-21,2026-02-21,14,afternoon,P2,closed,whatsapp,90,39,11.0,False,0,5.0
97,SR0000100,1,6,Maintenance,Wi-Fi down,maintenance,2026-03-02,2026-03-02,15,afternoon,P1,closed,whatsapp,60,6,1.0,False,0,
98,SR0000101,1,9,Front Desk,Key/access issue,front_office,2026-03-15,2026-03-15,18,evening,P1,closed,front_desk,30,14,4.0,False,0,
99,SR0000102,1,10,Billing,Incorrect folio,front_office,2026-03-31,2026-03-31,12,afternoon,P2,closed,whatsapp,240,97,29.0,False,0,
100,SR0000103,1,9,Front Desk,Key/access issue,front_office,2026-04-02,2026-04-02,9,morning,P1,closed,app,30,30,10.0,False,0,
101,SR0000104,1,2,Housekeeping,Extra towels/linen,housekeeping,2026-04-17,2026-04-17,8,morning,P3,closed,front_desk,45,30,4.0,False,0,
102,SR0000105,1,8,Front Desk,Late check-in,front_office,2026-05-07,2026-05-07,17,afternoon,P2,closed,app,30,29,3.0,False,0,
103,SR0000106,1,1,Housekeeping,Room not cleaned,housekeeping,2026-05-28,2026-05-28,19,evening,P2,closed,whatsapp,60,9,3.0,False,0,
104,SR0000107,1,9,Front Desk,Key/access issue,front_office,2026-06-01,2026-06-01,8,morning,P1,closed,whatsapp,30,5,1.0,False,0,5.0
105,SR0000108,1,3,Housekeeping,Late checkout clean,housekeeping,2026-06-12,2026-06-12,23,evening,P2,closed,front_desk,90,37,12.0,False,0,5.0
106,SR0000109,1,3,Housekeeping,Late checkout clean,housekeeping,2026-06-13,2026-06-13,14,afternoon,P2,closed,front_desk,90,54,11.0,False,0,
107,SR0000110,1,5,Maintenance,Hot water,maintenance,2026-06-25,2026-06-25,15,afternoon,P1,closed,app,90,58,12.0,False,0,
108,SR0000111,1,9,Front Desk,Key/access issue,front_office,2026-07-02,2026-07-02,14,afternoon,P1,closed,app,30,9,2.0,False,0,
109,SR0000112,1,10,Billing,Incorrect folio,front_office,2026-07-10,2026-07-10,11,morning,P2,closed,phone,240,337,96.0,True,0,
110,SR0000113,1,1,Housekeeping,Room not cleaned,housekeeping,2026-07-29,2026-07-29,10,morning,P2,closed,whatsapp,60,24,8.0,False,0,
111,SR0000114,1,3,Housekeeping,Late checkout clean,housekeeping,2026-07-30,2026-07-30,18,evening,P2,closed,front_desk,90,110,42.0,True,0,
112,SR0000115,1,5,Maintenance,Hot water,maintenance,2025-02-06,2025-02-06,16,afternoon,P1,closed,whatsapp,90,51,11.0,False,0,4.0
113,SR0000116,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-02-11,2025-02-11,14,afternoon,P3,closed,whatsapp,45,35,6.0,False,1,
114,SR0000117,1,3,Housekeeping,Late checkout clean,housekeeping,2025-02-14,2025-02-14,17,afternoon,P2,closed,whatsapp,90,36,4.0,False,0,
115,SR0000118,1,6,Maintenance,Wi-Fi down,maintenance,2025-02-24,2025-02-24,7,morning,P1,closed,email,60,21,5.0,False,0,
116,SR0000119,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-02-28,2025-02-28,8,morning,P3,closed,phone,45,74,27.0,True,0,
117,SR0000120,1,10,Billing,Incorrect folio,front_office,2025-03-13,2025-03-13,21,evening,P2,closed,whatsapp,240,120,43.0,False,0,
118,SR0000121,1,4,Maintenance,AC not cooling,maintenance,2025-03-19,2025-03-19,15,afternoon,P1,closed,whatsapp,120,36,9.0,False,0,
119,SR0000122,1,8,Front Desk,Late check-in,front_office,2025-04-09,2025-04-09,22,evening,P2,closed,front_desk,30,17,2.0,False,0,
120,SR0000123,1,4,Maintenance,AC not cooling,maintenance,2025-04-10,2025-04-10,1,overnight,P1,closed,whatsapp,120,94,17.0,False,0,4.0
121,SR0000124,1,1,Housekeeping,Room not cleaned,housekeeping,2025-04-25,2025-04-25,11,morning,P2,closed,app,60,87,18.0,True,0,
122,SR0000125,1,5,Maintenance,Hot water,maintenance,2025-05-11,2025-05-11,9,morning,P1,closed,whatsapp,90,37,13.0,False,0,
123,SR0000126,1,1,Housekeeping,Room not cleaned,housekeeping,2025-05-19,2025-05-20,23,evening,P2,closed,whatsapp,60,39,7.0,False,0,
124,SR0000127,1,7,Maintenance,Plumbing,maintenance,2025-05-23,2025-05-23,19,evening,P2,closed,whatsapp,180,194,53.0,True,0,
125,SR0000128,1,6,Maintenance,Wi-Fi down,maintenance,2025-06-03,2025-06-03,15,afternoon,P1,closed,front_desk,60,13,2.0,False,0,
126,SR0000129,1,5,Maintenance,Hot water,maintenance,2025-06-05,2025-06-05,20,evening,P1,closed,phone,90,74,12.0,False,0,
127,SR0000130,1,10,Billing,Incorrect folio,front_office,2025-06-22,2025-06-23,23,evening,P2,closed,whatsapp,240,132,47.0,False,0,
128,SR0000131,1,7,Maintenance,Plumbing,maintenance,2025-07-14,2025-07-14,17,afternoon,P2,closed,phone,180,88,27.0,False,0,4.0
129,SR0000132,1,4,Maintenance,AC not cooling,maintenance,2025-09-10,2025-09-10,12,afternoon,P1,closed,front_desk,120,5,1.0,False,0,
130,SR0000133,1,7,Maintenance,Plumbing,maintenance,2025-09-20,2025-09-20,11,morning,P2,closed,phone,180,43,15.0,False,0,5.0
131,SR0000134,1,10,Billing,Incorrect folio,front_office,2025-09-29,2025-09-29,17,afternoon,P2,closed,front_desk,240,79,30.0,False,0,3.0
132,SR0000135,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-10-03,2025-10-03,17,afternoon,P3,closed,whatsapp,45,36,11.0,False,0,
133,SR0000136,1,5,Maintenance,Hot water,maintenance,2025-10-16,2025-10-16,12,afternoon,P1,closed,whatsapp,90,6,1.0,False,0,
134,SR0000137,1,1,Housekeeping,Room not cleaned,housekeeping,2025-10-18,2025-10-19,23,evening,P2,closed,whatsapp,60,21,4.0,False,0,4.0
135,SR0000138,1,3,Housekeeping,Late checkout clean,housekeeping,2025-10-29,2025-10-29,10,morning,P2,closed,whatsapp,90,200,47.0,True,0,
136,SR0000139,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-11-01,2025-11-01,22,evening,P3,closed,email,45,12,3.0,False,0,
137,SR0000140,1,9,Front Desk,Key/access issue,front_office,2025-11-12,2025-11-12,9,morning,P1,closed,app,30,33,9.0,True,0,
138,SR0000141,1,5,Maintenance,Hot water,maintenance,2025-11-13,2025-11-13,11,morning,P1,closed,phone,90,172,36.0,True,0,2.0
139,SR0000143,1,1,Housekeeping,Room not cleaned,housekeeping,2025-11-27,2025-11-27,18,evening,P2,closed,front_desk,60,18,6.0,False,0,
140,SR0000144,1,3,Housekeeping,Late checkout clean,housekeeping,2025-12-11,2025-12-11,13,afternoon,P2,closed,whatsapp,90,4,1.0,False,0,
141,SR0000145,1,9,Front Desk,Key/access issue,front_office,2026-01-08,2026-01-08,15,afternoon,P1,closed,app,30,9,1.0,False,0,
142,SR0000146,1,5,Maintenance,Hot water,maintenance,2026-01-16,2026-01-16,17,afternoon,P1,closed,phone,90,66,22.0,False,0,
143,SR0000147,1,4,Maintenance,AC not cooling,maintenance,2026-01-18,2026-01-18,12,afternoon,P1,closed,whatsapp,120,185,22.0,True,0,
144,SR0000148,1,9,Front Desk,Key/access issue,front_office,2026-01-21,2026-01-21,12,afternoon,P1,closed,whatsapp,30,27,5.0,False,0,5.0
145,SR0000149,1,3,Housekeeping,Late checkout clean,housekeeping,2026-02-08,2026-02-08,15,afternoon,P2,closed,whatsapp,90,20,4.0,False,0,
146,SR0000150,1,3,Housekeeping,Late checkout clean,housekeeping,2026-02-13,2026-02-13,12,afternoon,P2,closed,app,90,44,14.0,False,1,
147,SR0000151,1,6,Maintenance,Wi-Fi down,maintenance,2026-02-15,2026-02-15,18,evening,P1,closed,front_desk,60,31,4.0,False,0,
148,SR0000152,1,4,Maintenance,AC not cooling,maintenance,2026-03-19,2026-03-19,19,evening,P1,closed,phone,120,117,33.0,False,0,
149,SR0000153,1,7,Maintenance,Plumbing,maintenance,2026-03-20,2026-03-20,10,morning,P2,closed,phone,180,100,21.0,False,0,
150,SR0000154,1,6,Maintenance,Wi-Fi down,maintenance,2026-03-25,2026-03-26,23,evening,P1,closed,email,60,59,8.0,False,0,
151,SR0000155,1,8,Front Desk,Late check-in,front_office,2026-03-26,2026-03-26,5,overnight,P2,closed,whatsapp,30,14,2.0,False,0,
152,SR0000156,1,7,Maintenance,Plumbing,maintenance,2026-04-05,2026-04-05,20,evening,P2,closed,whatsapp,180,86,9.0,False,0,
153,SR0000157,1,10,Billing,Incorrect folio,front_office,2026-04-08,2026-04-08,17,afternoon,P2,closed,phone,240,195,28.0,False,0,
154,SR0000158,1,4,Maintenance,AC not cooling,maintenance,2026-04-15,2026-04-15,20,evening,P1,closed,phone,120,26,9.0,False,0,
155,SR0000159,1,6,Maintenance,Wi-Fi down,maintenance,2026-04-29,2026-04-29,20,evening,P1,closed,whatsapp,60,63,11.0,True,0,2.0
156,SR0000160,1,10,Billing,Incorrect folio,front_office,2026-05-01,2026-05-01,18,evening,P2,closed,front_desk,240,218,57.0,False,0,
157,SR0000161,1,8,Front Desk,Late check-in,front_office,2026-05-02,2026-05-02,8,morning,P2,closed,whatsapp,30,12,4.0,False,0,
158,SR0000162,1,3,Housekeeping,Late checkout clean,housekeeping,2026-05-10,2026-05-10,11,morning,P2,closed,phone,90,49,19.0,False,0,
159,SR0000163,1,10,Billing,Incorrect folio,front_office,2026-05-12,2026-05-13,23,evening,P2,closed,whatsapp,240,51,10.0,False,0,5.0
160,SR0000164,1,6,Maintenance,Wi-Fi down,maintenance,2026-05-20,2026-05-20,18,evening,P1,closed,front_desk,60,25,9.0,False,0,
161,SR0000165,1,5,Maintenance,Hot water,maintenance,2026-06-08,2026-06-08,21,evening,P1,closed,front_desk,90,42,7.0,False,0,
162,SR0000166,1,6,Maintenance,Wi-Fi down,maintenance,2026-06-19,2026-06-19,11,morning,P1,closed,front_desk,60,20,3.0,False,0,5.0
163,SR0000167,1,4,Maintenance,AC not cooling,maintenance,2026-07-06,2026-07-06,19,evening,P1,closed,front_desk,120,10,1.0,False,0,5.0
164,SR0000168,1,3,Housekeeping,Late checkout clean,housekeeping,2026-07-13,2026-07-13,15,afternoon,P2,closed,front_desk,90,90,34.0,False,0,
165,SR0000169,1,7,Maintenance,Plumbing,maintenance,2026-07-29,2026-07-29,19,evening,P2,closed,app,180,163,52.0,False,0,
166,SR0000170,1,7,Maintenance,Plumbing,maintenance,2025-02-04,2025-02-04,15,afternoon,P2,closed,phone,180,95,19.0,False,0,5.0
167,SR0000171,1,3,Housekeeping,Late checkout clean,housekeeping,2025-02-13,2025-02-13,5,overnight,P2,closed,app,90,62,19.0,False,0,
168,SR0000172,1,7,Maintenance,Plumbing,maintenance,2025-02-17,2025-02-17,18,evening,P2,closed,whatsapp,180,70,7.0,False,0,
169,SR0000173,1,4,Maintenance,AC not cooling,maintenance,2025-02-22,2025-02-23,20,evening,P1,closed,phone,120,250,33.0,True,0,
170,SR0000174,1,3,Housekeeping,Late checkout clean,housekeeping,2025-03-02,2025-03-02,16,afternoon,P2,closed,whatsapp,90,35,5.0,False,0,4.0
171,SR0000175,1,4,Maintenance,AC not cooling,maintenance,2025-03-03,2025-03-03,21,evening,P1,closed,front_desk,120,69,12.0,False,0,
172,SR0000176,1,3,Housekeeping,Late checkout clean,housekeeping,2025-03-18,2025-03-18,12,afternoon,P2,closed,email,90,102,15.0,True,0,
173,SR0000177,1,9,Front Desk,Key/access issue,front_office,2025-03-21,2025-03-21,16,afternoon,P1,closed,whatsapp,30,32,3.0,True,0,
174,SR0000178,1,1,Housekeeping,Room not cleaned,housekeeping,2025-03-22,2025-03-22,12,afternoon,P2,closed,phone,60,39,4.0,False,0,4.0
175,SR0000179,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-03-27,2025-03-27,14,afternoon,P3,closed,whatsapp,45,16,4.0,False,0,
176,SR0000180,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-03-28,2025-03-28,14,afternoon,P3,closed,front_desk,45,28,10.0,False,0,5.0
177,SR0000181,1,7,Maintenance,Plumbing,maintenance,2025-04-04,2025-04-04,11,morning,P2,closed,phone,180,120,34.0,False,0,
178,SR0000182,1,3,Housekeeping,Late checkout clean,housekeeping,2025-04-12,2025-04-12,19,evening,P2,closed,phone,90,35,11.0,False,0,
179,SR0000183,1,3,Housekeeping,Late checkout clean,housekeeping,2025-05-03,2025-05-03,12,afternoon,P2,closed,front_desk,90,138,12.0,True,0,
180,SR0000184,1,9,Front Desk,Key/access issue,front_office,2025-05-22,2025-05-22,13,afternoon,P1,closed,phone,30,7,1.0,False,0,
181,SR0000185,1,9,Front Desk,Key/access issue,front_office,2025-05-25,2025-05-25,19,evening,P1,closed,phone,30,30,9.0,False,0,
182,SR0000186,1,8,Front Desk,Late check-in,front_office,2025-06-02,2025-06-02,19,evening,P2,closed,whatsapp,30,8,1.0,False,0,4.0
183,SR0000187,1,7,Maintenance,Plumbing,maintenance,2025-06-08,2025-06-08,16,afternoon,P2,closed,front_desk,180,34,11.0,False,0,5.0
184,SR0000188,1,5,Maintenance,Hot water,maintenance,2025-06-18,2025-06-19,23,evening,P1,closed,whatsapp,90,16,6.0,False,0,
