property_key,property_code,stay_date,date_key,year_month,day_name,is_weekend,rooms_available,rooms_out_of_order,unit_nights_physical,rooms_sold,rooms_sold_microstay,room_revenue_net_inr,gst_inr,room_revenue_gross_inr,commission_inr,net_after_commission_inr,occupancy_pct,occupancy_pct_benchmark,occupancy_ooo_gap_pp,adr_inr,adr_excl_microstay_inr,revpar_inr
1,BLR-BTM,2025-12-12,20251212,2025-12,Friday,False,16,0,16,15,1,63547.48,3177.39,66724.87,4124.96,59422.52,93.75,93.75,0.00,4236.50,4440.55,3971.72
3,BLR-HSR,2026-03-01,20260301,2026-03,Sunday,True,9,1,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
1,BLR-BTM,2026-03-21,20260321,2026-03,Saturday,True,15,1,16,10,0,45842.12,2292.11,48134.23,4374.86,41467.26,66.67,62.50,4.17,4584.21,4584.21,3056.14
2,BLR-KOR,2025-07-10,20250710,2025-07,Thursday,False,12,2,14,8,0,37774.04,4532.89,42306.93,1508.36,36265.68,66.67,57.14,9.52,4721.76,4721.76,3147.84
3,BLR-HSR,2026-07-29,20260729,2026-07,Wednesday,False,10,0,10,5,0,18008.27,900.42,18908.69,1460.69,16547.58,50.00,50.00,0.00,3601.65,3601.65,1800.83
2,BLR-KOR,2026-02-26,20260226,2026-02,Thursday,False,14,0,14,13,1,62737.84,3136.90,65874.74,6263.51,56474.33,92.86,92.86,0.00,4825.99,5118.41,4481.27
3,BLR-HSR,2026-07-28,20260728,2026-07,Tuesday,False,9,1,10,3,0,9815.01,490.76,10305.77,0.00,9815.01,33.33,30.00,3.33,3271.67,3271.67,1090.56
3,BLR-HSR,2026-04-03,20260403,2026-04,Friday,False,9,1,10,1,0,3678.92,183.95,3862.87,0.00,3678.92,11.11,10.00,1.11,3678.92,3678.92,408.77
2,BLR-KOR,2026-07-18,20260718,2026-07,Saturday,True,14,0,14,9,0,43117.22,2155.87,45273.09,2578.52,40538.70,64.29,64.29,0.00,4790.80,4790.80,3079.80
1,BLR-BTM,2025-12-15,20251215,2025-12,Monday,False,16,0,16,13,1,52261.34,2613.08,54874.42,2587.20,49674.14,81.25,81.25,0.00,4020.10,4241.99,3266.33
2,BLR-KOR,2026-01-15,20260115,2026-01,Thursday,False,14,0,14,7,0,33328.37,2668.84,35997.21,1122.94,32205.43,50.00,50.00,0.00,4761.20,4761.20,2380.60
1,BLR-BTM,2026-01-08,20260108,2026-01,Thursday,False,16,0,16,15,1,59122.93,2956.16,62079.09,5872.04,53250.89,93.75,93.75,0.00,3941.53,4106.22,3695.18
2,BLR-KOR,2025-06-29,20250629,2025-06,Sunday,True,13,1,14,3,0,14760.99,1771.32,16532.31,0.00,14760.99,23.08,21.43,1.65,4920.33,4920.33,1135.46
1,BLR-BTM,2025-06-20,20250620,2025-06,Friday,False,16,0,16,10,0,44070.45,5288.44,49358.89,3051.51,41018.94,62.50,62.50,0.00,4407.05,4407.05,2754.40
2,BLR-KOR,2026-08-11,20260811,2026-08,Tuesday,False,13,1,14,12,0,62327.20,3116.38,65443.58,3996.89,58330.31,92.31,85.71,6.59,5193.93,5193.93,4794.40
1,BLR-BTM,2026-04-03,20260403,2026-04,Friday,False,16,0,16,11,0,50317.33,2515.88,52833.21,4510.68,45806.65,68.75,68.75,0.00,4574.30,4574.30,3144.83
1,BLR-BTM,2025-02-12,20250212,2025-02,Wednesday,False,16,0,16,15,0,63790.07,7654.82,71444.89,2148.80,61641.27,93.75,93.75,0.00,4252.67,4252.67,3986.88
2,BLR-KOR,2026-07-05,20260705,2026-07,Sunday,True,14,0,14,11,0,52184.73,2609.24,54793.97,3154.35,49030.38,78.57,78.57,0.00,4744.07,4744.07,3727.48
1,BLR-BTM,2026-03-31,20260331,2026-03,Tuesday,False,16,0,16,14,2,58693.22,2934.69,61627.91,5459.25,53233.97,87.50,87.50,0.00,4192.37,4633.53,3668.33
3,BLR-HSR,2026-03-31,20260331,2026-03,Tuesday,False,10,0,10,2,0,7374.51,368.73,7743.24,0.00,7374.51,20.00,20.00,0.00,3687.26,3687.26,737.45
3,BLR-HSR,2026-06-06,20260606,2026-06,Saturday,True,10,0,10,7,0,24025.17,1201.26,25226.43,1306.22,22718.95,70.00,70.00,0.00,3432.17,3432.17,2402.52
1,BLR-BTM,2026-04-30,20260430,2026-04,Thursday,False,15,1,16,15,0,62673.63,3133.68,65807.31,3382.53,59291.10,100.00,93.75,6.25,4178.24,4178.24,4178.24
2,BLR-KOR,2025-08-09,20250809,2025-08,Saturday,True,14,0,14,6,0,29330.65,3519.68,32850.33,4405.81,24924.84,42.86,42.86,0.00,4888.44,4888.44,2095.05
2,BLR-KOR,2025-05-20,20250520,2025-05,Tuesday,False,13,1,14,12,0,56216.07,6745.91,62961.98,3735.07,52481.00,92.31,85.71,6.59,4684.67,4684.67,4324.31
3,BLR-HSR,2026-05-08,20260508,2026-05,Friday,False,10,0,10,7,0,25151.38,1257.56,26408.94,2624.62,22526.76,70.00,70.00,0.00,3593.05,3593.05,2515.14
3,BLR-HSR,2026-05-23,20260523,2026-05,Saturday,True,9,1,10,6,0,22700.80,1135.04,23835.84,697.12,22003.68,66.67,60.00,6.67,3783.47,3783.47,2522.31
1,BLR-BTM,2025-08-20,20250820,2025-08,Wednesday,False,16,0,16,13,0,60334.09,7240.09,67574.18,3786.38,56547.71,81.25,81.25,0.00,4641.08,4641.08,3770.88
1,BLR-BTM,2025-09-29,20250929,2025-09,Monday,False,16,0,16,14,0,62559.11,3127.95,65687.06,8891.92,53667.19,87.50,87.50,0.00,4468.51,4468.51,3909.94
1,BLR-BTM,2025-04-29,20250429,2025-04,Tuesday,False,16,0,16,11,0,50241.86,6029.02,56270.88,2146.87,48094.99,68.75,68.75,0.00,4567.44,4567.44,3140.12
2,BLR-KOR,2026-01-24,20260124,2026-01,Saturday,True,14,0,14,11,0,51348.50,2567.41,53915.91,2643.08,48705.42,78.57,78.57,0.00,4668.05,4668.05,3667.75
2,BLR-KOR,2026-04-08,20260408,2026-04,Wednesday,False,13,1,14,8,0,31334.67,1566.74,32901.41,2615.58,28719.09,61.54,57.14,4.40,3916.83,3916.83,2410.36
1,BLR-BTM,2025-05-29,20250529,2025-05,Thursday,False,15,1,16,12,0,49475.47,5937.07,55412.54,2026.66,47448.81,80.00,75.00,5.00,4122.96,4122.96,3298.36
1,BLR-BTM,2026-02-01,20260201,2026-02,Sunday,True,16,0,16,8,0,36048.77,1802.45,37851.22,2437.99,33610.78,50.00,50.00,0.00,4506.10,4506.10,2253.05
1,BLR-BTM,2025-10-11,20251011,2025-10,Saturday,True,13,3,16,13,1,51752.55,2587.63,54340.18,4465.01,47287.54,100.00,81.25,18.75,3980.97,4236.41,3980.97
1,BLR-BTM,2025-07-10,20250710,2025-07,Thursday,False,15,1,16,11,0,46303.50,5556.43,51859.93,3734.20,42569.30,73.33,68.75,4.58,4209.41,4209.41,3086.90
1,BLR-BTM,2025-07-26,20250726,2025-07,Saturday,True,16,0,16,10,0,45369.30,5444.32,50813.62,2947.36,42421.94,62.50,62.50,0.00,4536.93,4536.93,2835.58
1,BLR-BTM,2025-04-19,20250419,2025-04,Saturday,True,16,0,16,10,0,42785.71,5134.28,47919.99,4779.78,38005.93,62.50,62.50,0.00,4278.57,4278.57,2674.11
1,BLR-BTM,2026-03-19,20260319,2026-03,Thursday,False,16,0,16,16,0,72991.53,4661.93,77653.46,2599.18,70392.35,100.00,100.00,0.00,4561.97,4561.97,4561.97
2,BLR-KOR,2026-05-21,20260521,2026-05,Thursday,False,13,1,14,7,0,33132.25,1656.61,34788.86,2795.94,30336.31,53.85,50.00,3.85,4733.18,4733.18,2548.63
1,BLR-BTM,2026-01-31,20260131,2026-01,Saturday,True,16,0,16,12,0,54578.79,2728.96,57307.75,4663.44,49915.35,75.00,75.00,0.00,4548.23,4548.23,3411.17
3,BLR-HSR,2026-07-14,20260714,2026-07,Tuesday,False,10,0,10,8,0,31599.80,1580.00,33179.80,1338.65,30261.15,80.00,80.00,0.00,3949.98,3949.98,3159.98
2,BLR-KOR,2025-10-31,20251031,2025-10,Friday,False,14,0,14,14,1,63734.78,4183.10,67917.88,3464.92,60269.86,100.00,100.00,0.00,4552.48,4826.87,4552.48
1,BLR-BTM,2025-04-30,20250430,2025-04,Wednesday,False,16,0,16,13,0,56467.89,6776.13,63244.02,2904.11,53563.78,81.25,81.25,0.00,4343.68,4343.68,3529.24
1,BLR-BTM,2026-06-06,20260606,2026-06,Saturday,True,14,2,16,14,1,61766.75,3088.35,64855.10,3966.68,57800.07,100.00,87.50,12.50,4411.91,4668.30,4411.91
2,BLR-KOR,2025-08-03,20250803,2025-08,Sunday,True,14,0,14,10,0,47296.84,5675.62,52972.46,3752.19,43544.65,71.43,71.43,0.00,4729.68,4729.68,3378.35
1,BLR-BTM,2025-07-25,20250725,2025-07,Friday,False,16,0,16,16,2,63360.43,7603.25,70963.68,4812.09,58548.34,100.00,100.00,0.00,3960.03,4311.59,3960.03
3,BLR-HSR,2026-06-02,20260602,2026-06,Tuesday,False,10,0,10,6,0,20247.48,1012.38,21259.86,512.77,19734.71,60.00,60.00,0.00,3374.58,3374.58,2024.75
3,BLR-HSR,2026-04-22,20260422,2026-04,Wednesday,False,10,0,10,6,0,22091.28,1104.57,23195.85,1858.30,20232.98,60.00,60.00,0.00,3681.88,3681.88,2209.13
2,BLR-KOR,2025-09-19,20250919,2025-09,Friday,False,14,0,14,10,0,50082.65,6009.92,56092.57,6492.29,43590.36,71.43,71.43,0.00,5008.27,5008.27,3577.33
1,BLR-BTM,2025-05-25,20250525,2025-05,Sunday,True,15,1,16,8,0,31625.45,3795.07,35420.52,2616.61,29008.84,53.33,50.00,3.33,3953.18,3953.18,2108.36
2,BLR-KOR,2025-09-06,20250906,2025-09,Saturday,True,14,0,14,8,0,36992.95,4439.17,41432.12,4204.71,32788.24,57.14,57.14,0.00,4624.12,4624.12,2642.35
1,BLR-BTM,2026-03-15,20260315,2026-03,Sunday,True,15,1,16,9,0,38126.68,1906.33,40033.01,1573.12,36553.56,60.00,56.25,3.75,4236.30,4236.30,2541.78
1,BLR-BTM,2025-09-12,20250912,2025-09,Friday,False,16,0,16,10,0,46668.99,5600.28,52269.27,3222.41,43446.58,62.50,62.50,0.00,4666.90,4666.90,2916.81
1,BLR-BTM,2026-06-25,20260625,2026-06,Thursday,False,16,0,16,13,0,56399.89,2820.00,59219.89,2431.20,53968.69,81.25,81.25,0.00,4338.45,4338.45,3524.99
2,BLR-KOR,2025-02-27,20250227,2025-02,Thursday,False,14,0,14,10,0,49543.16,5945.17,55488.33,4113.42,45429.74,71.43,71.43,0.00,4954.32,4954.32,3538.80
2,BLR-KOR,2025-11-03,20251103,2025-11,Monday,False,13,1,14,12,1,55135.37,2756.76,57892.13,4534.56,50600.81,92.31,85.71,6.59,4594.61,4887.41,4241.18
2,BLR-KOR,2026-02-10,20260210,2026-02,Tuesday,False,14,0,14,13,0,62433.85,4151.85,66585.70,5661.36,56772.49,92.86,92.86,0.00,4802.60,4802.60,4459.56
2,BLR-KOR,2025-10-03,20251003,2025-10,Friday,False,13,1,14,11,1,51836.44,3692.91,55529.35,3825.32,48011.12,84.62,78.57,6.04,4712.40,5093.25,3987.42
1,BLR-BTM,2026-04-29,20260429,2026-04,Wednesday,False,16,0,16,15,0,61907.18,3095.35,65002.53,3252.76,58654.42,93.75,93.75,0.00,4127.15,4127.15,3869.20
1,BLR-BTM,2025-10-05,20251005,2025-10,Sunday,True,16,0,16,7,0,32118.18,1605.91,33724.09,1349.95,30768.23,43.75,43.75,0.00,4588.31,4588.31,2007.39
1,BLR-BTM,2026-08-09,20260809,2026-08,Sunday,True,16,0,16,11,0,48790.87,2439.54,51230.41,3833.80,44957.07,68.75,68.75,0.00,4435.53,4435.53,3049.43
2,BLR-KOR,2026-03-19,20260319,2026-03,Thursday,False,13,1,14,12,0,58106.98,2905.36,61012.34,5446.08,52660.90,92.31,85.71,6.59,4842.25,4842.25,4469.77
1,BLR-BTM,2025-05-18,20250518,2025-05,Sunday,True,16,0,16,10,0,43938.53,5272.62,49211.15,1887.80,42050.73,62.50,62.50,0.00,4393.85,4393.85,2746.16
2,BLR-KOR,2025-07-30,20250730,2025-07,Wednesday,False,14,0,14,10,1,42729.56,5127.56,47857.12,2839.61,39889.95,71.43,71.43,0.00,4272.96,4593.43,3052.11
1,BLR-BTM,2026-02-12,20260212,2026-02,Thursday,False,16,0,16,15,0,69862.38,3493.13,73355.51,5851.14,64011.24,93.75,93.75,0.00,4657.49,4657.49,4366.40
1,BLR-BTM,2025-07-08,20250708,2025-07,Tuesday,False,16,0,16,11,0,45808.83,5497.06,51305.89,2524.41,43284.42,68.75,68.75,0.00,4164.44,4164.44,2863.05
2,BLR-KOR,2025-05-13,20250513,2025-05,Tuesday,False,14,0,14,10,0,46868.87,6084.19,52953.06,2250.49,44618.38,71.43,71.43,0.00,4686.89,4686.89,3347.78
2,BLR-KOR,2026-07-02,20260702,2026-07,Thursday,False,14,0,14,13,0,61142.54,4058.63,65201.17,1649.38,59493.16,92.86,92.86,0.00,4703.27,4703.27,4367.32
2,BLR-KOR,2026-01-29,20260129,2026-01,Thursday,False,13,1,14,11,0,54881.46,3784.99,58666.45,4337.79,50543.67,84.62,78.57,6.04,4989.22,4989.22,4221.65
1,BLR-BTM,2026-03-30,20260330,2026-03,Monday,False,15,1,16,10,0,46031.78,2301.60,48333.38,4212.23,41819.55,66.67,62.50,4.17,4603.18,4603.18,3068.79
1,BLR-BTM,2025-10-06,20251006,2025-10,Monday,False,15,1,16,6,0,27658.27,1382.91,29041.18,1907.43,25750.84,40.00,37.50,2.50,4609.71,4609.71,1843.88
3,BLR-HSR,2026-05-01,20260501,2026-05,Friday,False,10,0,10,4,0,13787.69,689.39,14477.08,721.60,13066.09,40.00,40.00,0.00,3446.92,3446.92,1378.77
1,BLR-BTM,2025-08-25,20250825,2025-08,Monday,False,16,0,16,15,1,63336.00,7600.33,70936.33,5049.14,58286.86,93.75,93.75,0.00,4222.40,4416.73,3958.50
1,BLR-BTM,2025-12-19,20251219,2025-12,Friday,False,16,0,16,11,0,45913.81,2295.71,48209.52,3006.42,42907.39,68.75,68.75,0.00,4173.98,4173.98,2869.61
1,BLR-BTM,2025-11-22,20251122,2025-11,Saturday,True,16,0,16,16,0,69155.64,3457.79,72613.43,6101.63,63054.01,100.00,100.00,0.00,4322.23,4322.23,4322.23
3,BLR-HSR,2026-05-19,20260519,2026-05,Tuesday,False,10,0,10,4,0,14579.47,728.97,15308.44,1234.97,13344.50,40.00,40.00,0.00,3644.87,3644.87,1457.95
2,BLR-KOR,2025-10-25,20251025,2025-10,Saturday,True,14,0,14,8,0,34247.06,1712.36,35959.42,2222.26,32024.80,57.14,57.14,0.00,4280.88,4280.88,2446.22
2,BLR-KOR,2026-02-23,20260223,2026-02,Monday,False,14,0,14,7,0,33786.48,1689.34,35475.82,3841.15,29945.33,50.00,50.00,0.00,4826.64,4826.64,2413.32
1,BLR-BTM,2025-07-09,20250709,2025-07,Wednesday,False,16,0,16,13,1,51524.83,6182.98,57707.81,3757.45,47767.38,81.25,81.25,0.00,3963.45,4179.86,3220.30
3,BLR-HSR,2026-06-23,20260623,2026-06,Tuesday,False,10,0,10,2,0,8883.20,444.16,9327.36,0.00,8883.20,20.00,20.00,0.00,4441.60,4441.60,888.32
1,BLR-BTM,2025-12-16,20251216,2025-12,Tuesday,False,16,0,16,14,0,61239.12,3061.97,64301.09,5483.18,55755.94,87.50,87.50,0.00,4374.22,4374.22,3827.45
1,BLR-BTM,2026-07-11,20260711,2026-07,Saturday,True,16,0,16,14,0,60480.61,3024.04,63504.65,5161.58,55319.03,87.50,87.50,0.00,4320.04,4320.04,3780.04
1,BLR-BTM,2025-09-16,20250916,2025-09,Tuesday,False,16,0,16,13,1,57489.56,6898.75,64388.31,5321.59,52167.97,81.25,81.25,0.00,4422.27,4658.02,3593.10
2,BLR-KOR,2026-01-30,20260130,2026-01,Friday,False,14,0,14,14,0,66719.27,4376.88,71096.15,5138.21,61581.06,100.00,100.00,0.00,4765.66,4765.66,4765.66
3,BLR-HSR,2026-04-30,20260430,2026-04,Thursday,False,10,0,10,7,0,23468.23,1173.42,24641.65,1756.30,21711.93,70.00,70.00,0.00,3352.60,3352.60,2346.82
2,BLR-KOR,2025-07-21,20250721,2025-07,Monday,False,14,0,14,14,0,65430.23,8312.62,73742.85,3016.64,62413.59,100.00,100.00,0.00,4673.59,4673.59,4673.59
2,BLR-KOR,2026-03-21,20260321,2026-03,Saturday,True,14,0,14,8,1,32011.09,1600.55,33611.64,893.40,31117.69,57.14,57.14,0.00,4001.39,4373.28,2286.51
3,BLR-HSR,2026-08-06,20260806,2026-08,Thursday,False,10,0,10,10,0,42029.54,2101.48,44131.02,4743.55,37285.99,100.00,100.00,0.00,4202.95,4202.95,4202.95
1,BLR-BTM,2026-03-07,20260307,2026-03,Saturday,True,16,0,16,13,1,52298.76,2614.93,54913.69,4036.46,48262.30,81.25,81.25,0.00,4022.98,4282.87,3268.67
2,BLR-KOR,2025-07-12,20250712,2025-07,Saturday,True,14,0,14,7,1,31377.55,3765.30,35142.85,135.55,31242.00,50.00,50.00,0.00,4482.51,5041.33,2241.25
1,BLR-BTM,2025-10-12,20251012,2025-10,Sunday,True,15,1,16,13,1,52404.17,2620.21,55024.38,2704.02,49700.15,86.67,81.25,5.42,4031.09,4284.38,3493.61
2,BLR-KOR,2026-02-13,20260213,2026-02,Friday,False,13,1,14,10,1,48198.78,2409.95,50608.73,3888.07,44310.71,76.92,71.43,5.49,4819.88,5249.47,3707.60
3,BLR-HSR,2026-07-02,20260702,2026-07,Thursday,False,10,0,10,5,0,21210.95,1060.55,22271.50,1695.18,19515.77,50.00,50.00,0.00,4242.19,4242.19,2121.10
1,BLR-BTM,2026-07-05,20260705,2026-07,Sunday,True,16,0,16,13,1,55587.91,3808.59,59396.50,3585.08,52002.83,81.25,81.25,0.00,4275.99,4557.95,3474.24
2,BLR-KOR,2025-07-20,20250720,2025-07,Sunday,True,14,0,14,13,1,59175.56,7562.05,66737.61,2253.10,56922.46,92.86,92.86,0.00,4551.97,4833.51,4226.83
1,BLR-BTM,2026-02-02,20260202,2026-02,Monday,False,16,0,16,11,1,48613.71,2430.70,51044.41,2558.72,46054.99,68.75,68.75,0.00,4419.43,4712.45,3038.36
1,BLR-BTM,2026-03-24,20260324,2026-03,Tuesday,False,15,1,16,13,0,59880.94,2994.05,62874.99,7249.11,52631.83,86.67,81.25,5.42,4606.23,4606.23,3992.06
3,BLR-HSR,2026-06-22,20260622,2026-06,Monday,False,10,0,10,5,1,16512.02,825.60,17337.62,860.75,15651.27,50.00,50.00,0.00,3302.40,3848.72,1651.20
1,BLR-BTM,2025-04-12,20250412,2025-04,Saturday,True,16,0,16,16,0,68301.50,8196.19,76497.69,6778.01,61523.49,100.00,100.00,0.00,4268.84,4268.84,4268.84
2,BLR-KOR,2025-04-06,20250406,2025-04,Sunday,True,14,0,14,8,0,36171.21,4340.54,40511.75,1694.06,34477.15,57.14,57.14,0.00,4521.40,4521.40,2583.66
1,BLR-BTM,2026-02-18,20260218,2026-02,Wednesday,False,16,0,16,15,0,69091.71,3454.60,72546.31,7584.21,61507.50,93.75,93.75,0.00,4606.11,4606.11,4318.23
2,BLR-KOR,2025-07-24,20250724,2025-07,Thursday,False,14,0,14,10,0,48591.98,6282.25,54874.23,2385.49,46206.49,71.43,71.43,0.00,4859.20,4859.20,3470.86
1,BLR-BTM,2025-12-18,20251218,2025-12,Thursday,False,16,0,16,16,0,71452.61,3572.65,75025.26,6726.30,64726.31,100.00,100.00,0.00,4465.79,4465.79,4465.79
2,BLR-KOR,2025-12-19,20251219,2025-12,Friday,False,14,0,14,11,1,48981.45,2449.07,51430.52,4930.64,44050.81,78.57,78.57,0.00,4452.86,4786.74,3498.68
2,BLR-KOR,2025-10-21,20251021,2025-10,Tuesday,False,13,1,14,8,0,36186.32,1809.32,37995.64,4243.38,31942.94,61.54,57.14,4.40,4523.29,4523.29,2783.56
1,BLR-BTM,2025-03-28,20250328,2025-03,Friday,False,15,1,16,13,0,56243.35,6749.18,62992.53,5181.97,51061.38,86.67,81.25,5.42,4326.41,4326.41,3749.56
2,BLR-KOR,2026-08-10,20260810,2026-08,Monday,False,14,0,14,14,0,67186.07,3359.32,70545.39,3229.95,63956.12,100.00,100.00,0.00,4799.01,4799.01,4799.01
2,BLR-KOR,2025-02-28,20250228,2025-02,Friday,False,14,0,14,9,0,43555.39,5226.63,48782.02,3706.70,39848.69,64.29,64.29,0.00,4839.49,4839.49,3111.10
2,BLR-KOR,2025-05-18,20250518,2025-05,Sunday,True,13,1,14,9,0,40213.93,4825.66,45039.59,1713.24,38500.69,69.23,64.29,4.95,4468.21,4468.21,3093.38
2,BLR-KOR,2025-05-08,20250508,2025-05,Thursday,False,14,0,14,11,0,48686.34,6302.28,54988.62,2595.83,46090.51,78.57,78.57,0.00,4426.03,4426.03,3477.60
3,BLR-HSR,2026-03-12,20260312,2026-03,Thursday,False,10,0,10,3,0,10076.27,503.82,10580.09,439.03,9637.24,30.00,30.00,0.00,3358.76,3358.76,1007.63
1,BLR-BTM,2025-11-26,20251126,2025-11,Wednesday,False,16,0,16,14,0,65894.80,3294.74,69189.54,6097.98,59796.82,87.50,87.50,0.00,4706.77,4706.77,4118.43
2,BLR-KOR,2025-10-28,20251028,2025-10,Tuesday,False,14,0,14,12,0,60015.02,3997.10,64012.12,4714.89,55300.13,85.71,85.71,0.00,5001.25,5001.25,4286.79
1,BLR-BTM,2026-04-19,20260419,2026-04,Sunday,True,16,0,16,10,0,41571.94,2078.59,43650.53,1207.15,40364.79,62.50,62.50,0.00,4157.19,4157.19,2598.25
2,BLR-KOR,2026-01-04,20260104,2026-01,Sunday,True,13,1,14,10,0,46901.57,2345.07,49246.64,4029.08,42872.49,76.92,71.43,5.49,4690.16,4690.16,3607.81
1,BLR-BTM,2025-07-07,20250707,2025-07,Monday,False,16,0,16,11,0,43916.61,5269.99,49186.60,2326.78,41589.83,68.75,68.75,0.00,3992.42,3992.42,2744.79
1,BLR-BTM,2025-09-28,20250928,2025-09,Sunday,True,16,0,16,7,0,31131.33,1556.57,32687.90,3720.62,27410.71,43.75,43.75,0.00,4447.33,4447.33,1945.71
2,BLR-KOR,2025-04-02,20250402,2025-04,Wednesday,False,14,0,14,9,0,37662.75,4519.52,42182.27,2190.39,35472.36,64.29,64.29,0.00,4184.75,4184.75,2690.20
3,BLR-HSR,2026-06-16,20260616,2026-06,Tuesday,False,9,1,10,5,0,20738.48,1036.92,21775.40,550.75,20187.73,55.56,50.00,5.56,4147.70,4147.70,2304.28
1,BLR-BTM,2025-12-20,20251220,2025-12,Saturday,True,15,1,16,9,0,39409.15,1970.47,41379.62,3113.79,36295.36,60.00,56.25,3.75,4378.79,4378.79,2627.28
2,BLR-KOR,2026-03-27,20260327,2026-03,Friday,False,14,0,14,10,0,40538.31,2026.92,42565.23,2949.23,37589.08,71.43,71.43,0.00,4053.83,4053.83,2895.59
3,BLR-HSR,2026-03-18,20260318,2026-03,Wednesday,False,10,0,10,4,0,13248.70,662.44,13911.14,882.89,12365.81,40.00,40.00,0.00,3312.18,3312.18,1324.87
2,BLR-KOR,2026-01-21,20260121,2026-01,Wednesday,False,14,0,14,14,0,65754.20,3287.72,69041.92,5276.88,60477.32,100.00,100.00,0.00,4696.73,4696.73,4696.73
2,BLR-KOR,2025-03-29,20250329,2025-03,Saturday,True,13,1,14,11,0,51756.47,6210.78,57967.25,3736.83,48019.64,84.62,78.57,6.04,4705.13,4705.13,3981.27
3,BLR-HSR,2026-06-24,20260624,2026-06,Wednesday,False,9,1,10,7,0,29466.83,1473.35,30940.18,2852.20,26614.63,77.78,70.00,7.78,4209.55,4209.55,3274.09
1,BLR-BTM,2025-12-22,20251222,2025-12,Monday,False,16,0,16,8,0,34413.31,1720.67,36133.98,2772.16,31641.15,50.00,50.00,0.00,4301.66,4301.66,2150.83
2,BLR-KOR,2025-03-06,20250306,2025-03,Thursday,False,14,0,14,7,0,37128.70,5368.60,42497.30,3953.54,33175.16,50.00,50.00,0.00,5304.10,5304.10,2652.05
2,BLR-KOR,2026-05-18,20260518,2026-05,Monday,False,14,0,14,8,0,37465.97,1873.30,39339.27,4667.48,32798.49,57.14,57.14,0.00,4683.25,4683.25,2676.14
2,BLR-KOR,2025-04-14,20250414,2025-04,Monday,False,14,0,14,12,0,58680.94,7041.72,65722.66,3456.14,55224.80,85.71,85.71,0.00,4890.08,4890.08,4191.50
1,BLR-BTM,2026-02-22,20260222,2026-02,Sunday,True,16,0,16,8,0,35026.29,1751.31,36777.60,2786.64,32239.65,50.00,50.00,0.00,4378.29,4378.29,2189.14
1,BLR-BTM,2026-07-28,20260728,2026-07,Tuesday,False,16,0,16,7,1,32753.41,1637.67,34391.08,2351.52,30401.89,43.75,43.75,0.00,4679.06,5226.74,2047.09
1,BLR-BTM,2025-10-07,20251007,2025-10,Tuesday,False,16,0,16,10,0,44118.55,2205.93,46324.48,5501.89,38616.66,62.50,62.50,0.00,4411.86,4411.86,2757.41
