guest_key,guest_id,home_city,guest_segment,has_phone,has_email
117,G000117,Chennai,leisure,True,True
118,G000118,Raipur,corporate,True,True
119,G000119,Kochi,relocation,True,True
120,G000120,Chennai,leisure,True,True
121,G000121,Jaipur,corporate,True,True
122,G000122,Coimbatore,leisure,True,True
123,G000123,Mumbai,corporate,True,True
124,G000124,Indore,leisure,True,True
125,G000125,Jaipur,corporate,True,True
126,G000126,Coimbatore,leisure,True,True
127,G000127,Jaipur,corporate,True,True
128,G000128,Mumbai,leisure,True,True
129,G000129,Indore,leisure,True,True
130,G000130,Ahmedabad,corporate,True,True
131,G000131,Lucknow,leisure,True,True
132,G000132,Lucknow,corporate,True,True
133,G000133,Lucknow,leisure,True,True
134,G000134,Kolkata,leisure,True,True
135,G000135,Indore,relocation,True,True
136,G000136,Hyderabad,corporate,True,True
137,G000137,Nagpur,relocation,True,True
138,G000138,Chennai,leisure,True,True
139,G000139,Raipur,leisure,True,False
140,G000140,Hyderabad,corporate,True,True
141,G000141,Mumbai,relocation,True,True
142,G000142,Kochi,corporate,True,True
143,G000143,Kochi,leisure,True,True
144,G000144,Delhi,corporate,True,True
145,G000145,Kochi,corporate,True,True
146,G000146,Hyderabad,corporate,True,True
147,G000147,Raipur,leisure,True,True
148,G000148,Lucknow,corporate,True,True
149,G000149,Coimbatore,leisure,True,True
150,G000150,Coimbatore,leisure,True,True
151,G000151,Chennai,unknown,True,True
152,G000152,Indore,relocation,True,True
153,G000153,Pune,leisure,True,True
154,G000154,Kochi,corporate,True,True
155,G000155,Chennai,relocation,True,True
156,G000156,Ahmedabad,corporate,True,True
157,G000157,Nagpur,relocation,True,True
158,G000158,Hyderabad,leisure,True,True
159,G000159,Coimbatore,corporate,True,True
160,G000160,Hyderabad,unknown,True,True
161,G000161,Kolkata,corporate,True,True
162,G000162,Lucknow,leisure,True,True
163,G000163,Chennai,unknown,True,True
164,G000164,Ahmedabad,leisure,True,True
165,G000165,Indore,relocation,True,True
166,G000166,Raipur,leisure,True,True
167,G000167,Raipur,corporate,True,True
168,G000168,Mumbai,corporate,True,True
169,G000169,Chennai,leisure,True,True
170,G000170,Kochi,corporate,True,True
171,G000171,Nagpur,leisure,True,True
172,G000172,Chennai,corporate,True,True
173,G000173,Delhi,corporate,True,True
174,G000174,Ahmedabad,leisure,True,True
175,G000175,Lucknow,corporate,True,True
176,G000176,Hyderabad,leisure,True,True
177,G000177,Nagpur,corporate,True,True
178,G000178,Mumbai,relocation,True,False
179,G000179,Hyderabad,corporate,True,True
180,G000180,Mumbai,leisure,True,True
181,G000181,Lucknow,corporate,True,True
182,G000182,Pune,corporate,True,True
183,G000183,Nagpur,corporate,True,True
184,G000184,Chennai,leisure,True,True
185,G000185,Raipur,corporate,True,True
186,G000186,Pune,leisure,True,True
187,G000187,Pune,leisure,True,True
188,G000188,Mumbai,corporate,True,True
189,G000189,Pune,relocation,True,True
190,G000190,Raipur,relocation,True,True
191,G000191,Kolkata,relocation,True,True
192,G000192,Indore,corporate,True,True
193,G000193,Coimbatore,relocation,True,True
194,G000194,Lucknow,leisure,True,True
195,G000195,Chennai,leisure,True,True
196,G000196,Pune,corporate,True,True
197,G000197,Hyderabad,corporate,True,True
198,G000198,Indore,corporate,True,True
199,G000199,Coimbatore,corporate,True,True
200,G000200,Delhi,relocation,True,True
201,G000201,Lucknow,corporate,True,True
202,G000202,Coimbatore,leisure,True,True
203,G000203,Kochi,corporate,True,True
204,G000204,Pune,relocation,True,True
205,G000205,Ahmedabad,corporate,True,True
206,G000206,Lucknow,corporate,True,False
207,G000207,Kochi,corporate,True,True
208,G000208,Nagpur,corporate,True,True
209,G000209,Chennai,leisure,True,True
210,G000210,Pune,unknown,True,True
211,G000211,Pune,leisure,True,True
212,G000212,Jaipur,unknown,True,True
213,G000213,Kolkata,corporate,True,True
214,G000214,Chennai,corporate,True,True
215,G000215,Lucknow,unknown,True,True
216,G000216,Coimbatore,relocation,True,True
217,G000217,Jaipur,leisure,True,True
218,G000218,Kolkata,corporate,True,True
219,G000219,Nagpur,relocation,True,True
220,G000220,Kochi,corporate,True,True
221,G000221,Chennai,leisure,False,True
222,G000222,Jaipur,unknown,True,False
223,G000223,Ahmedabad,corporate,True,True
224,G000224,Pune,unknown,True,True
225,G000225,Chennai,leisure,True,True
226,G000226,Coimbatore,corporate,True,True
227,G000227,Mumbai,corporate,True,True
228,G000228,Coimbatore,corporate,True,True
229,G000229,Raipur,leisure,True,True
230,G000230,Ahmedabad,corporate,True,True
231,G000231,Kolkata,corporate,True,True
232,G000232,Pune,corporate,False,True
233,G000233,Hyderabad,relocation,False,True
234,G000234,Coimbatore,corporate,True,True
235,G000235,Jaipur,unknown,True,True
236,G000236,Indore,leisure,True,True
237,G000237,Mumbai,corporate,True,True
238,G000238,Kochi,corporate,False,True
239,G000239,Indore,relocation,True,False
240,G000240,Pune,unknown,True,True
241,G000241,Mumbai,corporate,True,True
242,G000242,Coimbatore,relocation,True,True
243,G000243,Chennai,leisure,True,True
244,G000244,Kolkata,corporate,True,True
245,G000245,Hyderabad,unknown,True,True
246,G000246,Pune,corporate,True,True
247,G000247,Pune,relocation,True,True
248,G000248,Pune,relocation,True,True
249,G000249,Chennai,leisure,True,True
250,G000250,Chennai,corporate,True,True
251,G000251,Lucknow,corporate,True,True
252,G000252,Hyderabad,relocation,True,True
253,G000253,Indore,corporate,True,True
254,G000254,Hyderabad,leisure,True,True
255,G000255,Ahmedabad,corporate,True,True
256,G000256,Chennai,relocation,True,True
257,G000257,Ahmedabad,leisure,True,True
258,G000258,Ahmedabad,corporate,True,True
259,G000259,Kochi,relocation,True,True
260,G000260,Delhi,corporate,True,True
261,G000261,Jaipur,corporate,True,True
262,G000262,Coimbatore,relocation,False,True
263,G000263,Delhi,corporate,True,True
264,G000264,Pune,corporate,True,True
265,G000265,Coimbatore,corporate,True,True
266,G000266,Chennai,corporate,True,True
267,G000267,Pune,leisure,True,True
268,G000268,Jaipur,corporate,True,True
269,G000269,Delhi,corporate,True,True
270,G000270,Kolkata,corporate,True,True
271,G000271,Nagpur,relocation,True,True
272,G000272,Indore,leisure,True,True
273,G000273,Coimbatore,corporate,True,True
274,G000274,Ahmedabad,corporate,True,True
275,G000275,Kolkata,relocation,True,True
276,G000276,Jaipur,leisure,True,True
277,G000277,Hyderabad,leisure,True,True
278,G000278,Pune,relocation,True,True
279,G000279,Coimbatore,corporate,True,True
280,G000280,Lucknow,corporate,True,True
281,G000281,Ahmedabad,corporate,True,True
282,G000282,Mumbai,corporate,True,True
283,G000283,Raipur,unknown,True,True
284,G000284,Lucknow,corporate,True,True
285,G000285,Coimbatore,leisure,True,True
286,G000286,Hyderabad,unknown,True,False
287,G000287,Indore,relocation,True,True
288,G000288,Pune,corporate,True,True
289,G000289,Mumbai,corporate,False,True
290,G000290,Coimbatore,unknown,True,True
291,G000291,Mumbai,corporate,True,True
292,G000292,Lucknow,corporate,True,True
293,G000293,Kochi,corporate,True,True
294,G000294,Chennai,corporate,True,True
295,G000295,Raipur,corporate,True,True
296,G000296,Hyderabad,leisure,True,True
297,G000297,Nagpur,corporate,True,True
298,G000298,Raipur,corporate,True,True
299,G000299,Hyderabad,corporate,True,True
300,G000300,Jaipur,leisure,True,True
301,G000301,Jaipur,relocation,True,True
302,G000302,Hyderabad,corporate,True,True
303,G000303,Hyderabad,corporate,True,True
304,G000304,Kochi,leisure,True,True
305,G000305,Raipur,corporate,True,True
306,G000306,Jaipur,corporate,True,True
307,G000307,Coimbatore,corporate,True,True
308,G000308,Hyderabad,corporate,True,True
309,G000309,Kolkata,corporate,True,True
310,G000310,Mumbai,corporate,True,True
311,G000311,Raipur,relocation,True,True
312,G000312,Nagpur,corporate,True,True
313,G000313,Delhi,leisure,True,True
314,G000314,Delhi,leisure,True,True
315,G000315,Kochi,corporate,True,True
316,G000316,Kochi,leisure,True,True
317,G000317,Indore,corporate,True,True
318,G000318,Raipur,leisure,True,True
319,G000319,Ahmedabad,leisure,True,True
320,G000320,Coimbatore,leisure,True,True
321,G000321,Ahmedabad,leisure,True,True
322,G000322,Jaipur,corporate,True,True
323,G000323,Mumbai,corporate,True,True
324,G000324,Raipur,corporate,True,True
325,G000325,Lucknow,leisure,True,True
326,G000326,Kolkata,corporate,True,True
327,G000327,Kolkata,corporate,True,True
328,G000328,Mumbai,unknown,True,True
329,G000329,Pune,corporate,True,True
330,G000330,Jaipur,corporate,True,True
331,G000331,Ahmedabad,unknown,True,True
332,G000332,Jaipur,corporate,True,True
333,G000333,Coimbatore,corporate,True,True
334,G000334,Indore,relocation,True,True
335,G000335,Hyderabad,corporate,True,True
336,G000336,Coimbatore,corporate,True,True
337,G000337,Nagpur,corporate,True,True
338,G000338,Delhi,corporate,True,True
339,G000339,Pune,corporate,True,True
340,G000340,Kolkata,corporate,True,True
341,G000341,Kolkata,corporate,True,True
342,G000342,Ahmedabad,corporate,True,True
343,G000343,Chennai,leisure,True,True
344,G000344,Pune,corporate,True,True
345,G000345,Hyderabad,corporate,True,False
346,G000346,Mumbai,corporate,True,True
347,G000347,Indore,corporate,True,True
348,G000348,Kolkata,corporate,True,True
349,G000349,Lucknow,corporate,True,True
350,G000350,Pune,relocation,True,True
351,G000351,Lucknow,relocation,True,True
352,G000352,Hyderabad,leisure,True,True
353,G000353,Coimbatore,relocation,True,True
354,G000354,Delhi,corporate,True,True
355,G000355,Delhi,corporate,True,True
356,G000356,Chennai,leisure,True,True
357,G000357,Nagpur,relocation,True,True
358,G000358,Kolkata,relocation,True,True
359,G000359,Lucknow,leisure,True,True
360,G000360,Chennai,corporate,True,True
361,G000361,Nagpur,relocation,True,True
362,G000362,Ahmedabad,relocation,True,True
363,G000363,Jaipur,unknown,True,True
364,G000364,Nagpur,relocation,True,True
365,G000365,Coimbatore,corporate,True,True
366,G000366,Ahmedabad,corporate,True,True
367,G000367,Mumbai,corporate,True,True
368,G000368,Pune,leisure,True,True
369,G000369,Nagpur,relocation,True,True
370,G000370,Jaipur,corporate,True,True
371,G000371,Coimbatore,relocation,True,True
372,G000372,Pune,leisure,True,True
373,G000373,Mumbai,unknown,True,True
374,G000374,Pune,leisure,True,True
375,G000375,Nagpur,relocation,True,True
376,G000376,Lucknow,leisure,True,True
377,G000377,Coimbatore,relocation,True,True
378,G000378,Pune,leisure,True,True
379,G000379,Kolkata,relocation,True,True
380,G000380,Raipur,relocation,True,True
381,G000381,Kochi,leisure,True,True
382,G000382,Kolkata,leisure,True,True
383,G000383,Hyderabad,corporate,True,True
384,G000384,Ahmedabad,corporate,True,False
385,G000385,Mumbai,corporate,True,True
386,G000386,Lucknow,relocation,True,True
387,G000387,Ahmedabad,corporate,True,True
388,G000388,Lucknow,relocation,True,True
389,G000389,Indore,corporate,True,True
390,G000390,Chennai,leisure,True,True
391,G000391,Hyderabad,corporate,True,True
392,G000392,Chennai,corporate,True,True
393,G000393,Mumbai,leisure,True,True
394,G000394,Hyderabad,corporate,True,True
395,G000395,Hyderabad,corporate,True,True
396,G000396,Hyderabad,relocation,True,True
397,G000397,Hyderabad,corporate,True,True
398,G000398,Indore,corporate,True,True
399,G000399,Chennai,corporate,True,True
400,G000400,Raipur,corporate,True,True
401,G000401,Jaipur,corporate,True,True
402,G000402,Ahmedabad,corporate,True,True
403,G000403,Hyderabad,corporate,True,True
404,G000404,Indore,relocation,True,True
405,G000405,Raipur,corporate,True,False
406,G000406,Kochi,corporate,True,True
407,G000407,Indore,corporate,True,True
408,G000408,Coimbatore,corporate,True,True
409,G000409,Jaipur,corporate,True,True
410,G000410,Nagpur,corporate,True,True
411,G000411,Kochi,corporate,True,True
412,G000412,Lucknow,corporate,True,True
413,G000413,Kochi,corporate,False,True
414,G000414,Kochi,corporate,True,True
415,G000415,Jaipur,leisure,True,True
416,G000416,Indore,leisure,True,True
417,G000417,Ahmedabad,corporate,True,True
418,G000418,Indore,corporate,True,True
419,G000419,Jaipur,corporate,True,True
420,G000420,Kochi,corporate,True,True
421,G000421,Nagpur,corporate,True,True
422,G000422,Pune,corporate,True,True
423,G000423,Chennai,corporate,True,True
424,G000424,Coimbatore,leisure,True,True
425,G000425,Pune,corporate,True,True
426,G000426,Raipur,corporate,True,True
427,G000427,Ahmedabad,corporate,True,True
428,G000428,Jaipur,corporate,True,True
429,G000429,Mumbai,unknown,True,True
430,G000430,Delhi,leisure,True,True
431,G000431,Indore,leisure,True,True
432,G000432,Indore,relocation,True,True
433,G000433,Delhi,corporate,True,True
434,G000434,Mumbai,relocation,True,True
435,G000435,Nagpur,relocation,True,True
436,G000436,Hyderabad,corporate,True,True
437,G000437,Chennai,corporate,True,True
438,G000438,Pune,leisure,True,True
439,G000439,Kochi,leisure,True,True
440,G000440,Jaipur,corporate,True,True
441,G000441,Ahmedabad,corporate,True,True
442,G000442,Jaipur,corporate,True,True
443,G000443,Kochi,leisure,True,True
444,G000444,Coimbatore,corporate,True,True
445,G000445,Lucknow,corporate,True,True
446,G000446,Mumbai,leisure,True,True
447,G000447,Kolkata,relocation,True,True
448,G000448,Hyderabad,leisure,True,True
449,G000449,Mumbai,unknown,True,True
450,G000450,Ahmedabad,corporate,True,True
451,G000451,Kolkata,leisure,True,True
452,G000452,Delhi,corporate,True,True
453,G000453,Kolkata,relocation,True,True
454,G000454,Chennai,corporate,True,True
455,G000455,Coimbatore,corporate,True,True
456,G000456,Lucknow,leisure,True,True
457,G000457,Nagpur,leisure,True,True
458,G000458,Chennai,relocation,True,True
459,G000459,Chennai,corporate,True,True
460,G000460,Raipur,corporate,True,True
461,G000461,Kolkata,corporate,True,True
462,G000462,Kochi,corporate,True,True
463,G000463,Delhi,leisure,True,True
464,G000464,Chennai,leisure,True,True
465,G000465,Mumbai,relocation,True,True
466,G000466,Coimbatore,corporate,True,True
467,G000467,Nagpur,corporate,True,True
468,G000468,Chennai,corporate,True,True
469,G000469,Nagpur,relocation,True,True
470,G000470,Hyderabad,relocation,False,True
471,G000471,Lucknow,corporate,True,True
472,G000472,Indore,corporate,True,True
473,G000473,Jaipur,corporate,True,True
474,G000474,Ahmedabad,leisure,True,True
475,G000475,Indore,corporate,True,False
476,G000476,Hyderabad,corporate,True,True
477,G000477,Kochi,corporate,True,True
478,G000478,Lucknow,corporate,True,True
479,G000479,Lucknow,corporate,False,True
480,G000480,Raipur,unknown,True,True
481,G000481,Kochi,leisure,True,True
482,G000482,Coimbatore,corporate,True,True
483,G000483,Raipur,unknown,True,True
484,G000484,Chennai,corporate,True,True
485,G000485,Coimbatore,leisure,True,True
486,G000486,Kolkata,leisure,True,True
487,G000487,Nagpur,leisure,True,True
488,G000488,Ahmedabad,corporate,False,True
489,G000489,Jaipur,leisure,True,True
490,G000490,Kolkata,leisure,True,True
491,G000491,Hyderabad,corporate,True,True
492,G000492,Mumbai,unknown,True,True
493,G000493,Lucknow,leisure,True,True
494,G000494,Chennai,corporate,True,True
495,G000495,Lucknow,relocation,True,True
496,G000496,Chennai,corporate,True,True
497,G000497,Mumbai,corporate,True,True
498,G000498,Lucknow,corporate,True,True
499,G000499,Hyderabad,corporate,True,True
500,G000500,Raipur,corporate,True,True
501,G000501,Hyderabad,corporate,True,True
502,G000502,Raipur,leisure,True,True
503,G000503,Coimbatore,corporate,True,True
504,G000504,Indore,corporate,True,True
505,G000505,Jaipur,leisure,True,True
506,G000506,Kochi,leisure,True,True
507,G000507,Delhi,corporate,True,True
508,G000508,Kochi,relocation,True,True
509,G000509,Jaipur,leisure,True,True
510,G000510,Nagpur,corporate,True,True
511,G000511,Kochi,corporate,True,True
512,G000512,Hyderabad,leisure,True,True
513,G000513,Chennai,corporate,True,True
514,G000514,Hyderabad,leisure,True,True
515,G000515,Delhi,relocation,True,True
516,G000516,Kochi,leisure,True,True
517,G000517,Coimbatore,corporate,True,True
518,G000518,Pune,relocation,True,True
519,G000519,Hyderabad,corporate,True,True
520,G000520,Coimbatore,leisure,True,True
521,G000521,Hyderabad,corporate,True,True
522,G000522,Indore,corporate,True,True
523,G000523,Kochi,corporate,True,True
524,G000524,Raipur,corporate,True,True
525,G000525,Kochi,relocation,True,True
526,G000526,Pune,corporate,True,True
527,G000527,Kolkata,relocation,True,True
528,G000528,Indore,corporate,True,True
529,G000529,Hyderabad,corporate,True,True
530,G000530,Delhi,relocation,True,True
531,G000531,Kochi,leisure,True,True
532,G000532,Coimbatore,leisure,True,True
533,G000533,Kochi,corporate,True,True
534,G000534,Raipur,leisure,True,True
535,G000535,Indore,unknown,True,True
536,G000536,Lucknow,corporate,True,True
537,G000537,Jaipur,corporate,True,True
538,G000538,Kolkata,corporate,True,True
539,G000539,Mumbai,unknown,True,True
540,G000540,Ahmedabad,leisure,True,True
541,G000541,Kolkata,corporate,True,True
542,G000542,Coimbatore,relocation,True,True
543,G000543,Indore,corporate,True,True
544,G000544,Mumbai,corporate,True,True
545,G000545,Nagpur,corporate,True,True
546,G000546,Jaipur,unknown,True,True
547,G000547,Delhi,leisure,True,True
548,G000548,Nagpur,relocation,True,True
549,G000549,Nagpur,leisure,True,True
550,G000550,Pune,relocation,True,True
551,G000551,Delhi,relocation,True,True
552,G000552,Pune,corporate,True,True
553,G000553,Nagpur,relocation,True,True
554,G000554,Raipur,leisure,True,True
555,G000555,Nagpur,corporate,True,True
556,G000556,Coimbatore,unknown,True,True
557,G000557,Hyderabad,leisure,True,True
558,G000558,Lucknow,leisure,True,True
559,G000559,Coimbatore,unknown,True,True
560,G000560,Nagpur,corporate,True,True
561,G000561,Ahmedabad,corporate,True,False
562,G000562,Kochi,leisure,True,True
563,G000563,Chennai,leisure,True,True
564,G000564,Mumbai,corporate,True,True
565,G000565,Indore,corporate,True,True
566,G000566,Nagpur,corporate,True,True
567,G000567,Coimbatore,relocation,True,True
568,G000568,Raipur,corporate,True,True
569,G000569,Chennai,corporate,True,True
570,G000570,Nagpur,corporate,True,True
571,G000571,Coimbatore,leisure,True,True
572,G000572,Mumbai,leisure,True,True
573,G000573,Nagpur,corporate,True,True
574,G000574,Hyderabad,corporate,True,True
575,G000575,Mumbai,leisure,True,True
576,G000576,Ahmedabad,relocation,True,True
577,G000577,Nagpur,leisure,True,True
578,G000578,Indore,leisure,True,False
579,G000579,Kolkata,corporate,True,True
580,G000580,Jaipur,corporate,True,True
581,G000581,Delhi,corporate,True,True
582,G000582,Kochi,corporate,True,True
583,G000583,Ahmedabad,unknown,True,True
584,G000584,Pune,leisure,True,True
585,G000585,Jaipur,corporate,True,True
586,G000586,Pune,corporate,True,True
587,G000587,Jaipur,corporate,True,True
588,G000588,Raipur,leisure,True,True
589,G000589,Coimbatore,corporate,True,True
590,G000590,Chennai,leisure,True,True
591,G000591,Kochi,leisure,True,True
592,G000592,Nagpur,unknown,True,True
593,G000593,Mumbai,corporate,True,True
594,G000594,Indore,relocation,True,True
595,G000595,Indore,corporate,False,True
596,G000596,Pune,corporate,True,True
597,G000597,Ahmedabad,relocation,True,True
598,G000598,Mumbai,corporate,True,True
599,G000599,Lucknow,corporate,True,True
600,G000600,Ahmedabad,corporate,True,True
601,G000601,Pune,corporate,True,True
602,G000602,Delhi,relocation,True,True
603,G000603,Nagpur,leisure,True,True
604,G000604,Indore,relocation,True,True
605,G000605,Nagpur,corporate,True,True
606,G000606,Coimbatore,corporate,True,True
607,G000607,Delhi,corporate,True,True
608,G000608,Hyderabad,corporate,True,False
609,G000609,Delhi,leisure,True,True
610,G000610,Mumbai,corporate,True,True
611,G000611,Raipur,unknown,True,True
612,G000612,Hyderabad,corporate,True,True
613,G000613,Kolkata,leisure,True,True
614,G000614,Raipur,relocation,True,True
615,G000615,Kochi,corporate,True,True
616,G000616,Coimbatore,corporate,True,True
617,G000617,Nagpur,corporate,True,True
618,G000618,Kolkata,relocation,True,True
619,G000619,Indore,corporate,True,True
620,G000620,Kochi,corporate,True,False
621,G000621,Indore,leisure,True,True
622,G000622,Nagpur,corporate,True,True
623,G000623,Pune,unknown,True,True
624,G000624,Jaipur,unknown,True,True
625,G000625,Nagpur,corporate,True,True
626,G000626,Indore,relocation,True,True
627,G000627,Lucknow,leisure,True,True
628,G000628,Kochi,corporate,True,True
629,G000629,Chennai,leisure,True,True
630,G000630,Jaipur,relocation,True,False
631,G000631,Delhi,corporate,True,True
632,G000632,Indore,relocation,True,True
633,G000633,Raipur,relocation,True,True
634,G000634,Raipur,corporate,True,True
635,G000635,Mumbai,leisure,True,True
636,G000636,Kochi,corporate,True,True
637,G000637,Kolkata,corporate,True,False
638,G000638,Coimbatore,corporate,True,True
639,G000639,Coimbatore,leisure,True,True
640,G000640,Indore,corporate,False,True
641,G000641,Pune,relocation,True,True
642,G000642,Hyderabad,corporate,True,True
643,G000643,Lucknow,relocation,True,True
644,G000644,Kochi,corporate,True,True
645,G000645,Kochi,corporate,True,True
646,G000646,Kochi,leisure,True,True
647,G000647,Mumbai,unknown,False,True
648,G000648,Lucknow,relocation,True,True
649,G000649,Indore,leisure,True,False
650,G000650,Ahmedabad,leisure,False,True
651,G000651,Delhi,corporate,True,True
652,G000652,Indore,corporate,True,True
653,G000653,Kochi,relocation,True,True
654,G000654,Kochi,leisure,False,True
655,G000655,Delhi,corporate,True,True
656,G000656,Raipur,corporate,True,True
657,G000657,Mumbai,corporate,True,True
658,G000658,Ahmedabad,corporate,True,True
659,G000659,Hyderabad,leisure,True,True
660,G000660,Lucknow,corporate,True,True
661,G000661,Lucknow,corporate,True,True
662,G000662,Hyderabad,relocation,True,True
663,G000663,Ahmedabad,corporate,True,True
664,G000664,Kolkata,relocation,True,True
665,G000665,Lucknow,corporate,True,True
666,G000666,Lucknow,leisure,True,True
667,G000667,Chennai,relocation,True,True
668,G000668,Kochi,corporate,True,True
669,G000669,Hyderabad,corporate,True,True
670,G000670,Nagpur,corporate,True,True
671,G000671,Raipur,corporate,True,True
672,G000672,Chennai,corporate,True,True
673,G000673,Hyderabad,leisure,True,True
674,G000674,Raipur,corporate,True,True
675,G000675,Hyderabad,corporate,True,False
676,G000676,Hyderabad,unknown,True,True
677,G000677,Hyderabad,corporate,True,True
678,G000678,Hyderabad,leisure,True,True
679,G000679,Nagpur,corporate,True,True
680,G000680,Nagpur,unknown,True,True
681,G000681,Kochi,leisure,True,True
682,G000682,Raipur,corporate,True,True
683,G000683,Coimbatore,corporate,True,True
684,G000684,Indore,corporate,True,True
685,G000685,Coimbatore,leisure,True,True
686,G000686,Delhi,corporate,True,True
687,G000687,Ahmedabad,unknown,True,True
688,G000688,Coimbatore,corporate,True,True
689,G000689,Pune,corporate,True,True
690,G000690,Ahmedabad,corporate,True,True
691,G000691,Coimbatore,leisure,False,True
692,G000692,Nagpur,corporate,True,True
693,G000693,Nagpur,unknown,True,True
694,G000694,Hyderabad,corporate,False,True
695,G000695,Kochi,corporate,True,True
696,G000696,Indore,leisure,True,True
697,G000697,Chennai,corporate,True,False
698,G000698,Nagpur,relocation,True,True
699,G000699,Coimbatore,relocation,True,True
700,G000700,Delhi,corporate,True,True
701,G000701,Jaipur,corporate,True,True
702,G000702,Delhi,leisure,True,True
703,G000703,Chennai,corporate,True,False
704,G000704,Nagpur,corporate,True,True
705,G000705,Kochi,corporate,True,True
706,G000706,Lucknow,leisure,True,True
707,G000707,Chennai,corporate,True,True
