payment_key,payment_id,booking_key,payment_date,settlement_date,method,gross_amount_inr,gateway_fee_inr,gst_on_fee_inr,net_credited_inr,status,is_orphan_reference
39,PAY0000039,46.0,2025-01-08,2025-01-09,ota_collect,10931.28,218.63,39.35,10673.30,settled,False
40,PAY0000040,47.0,2025-01-25,2025-02-09,ota_collect,12149.64,242.99,43.74,11862.91,settled,False
41,PAY0000041,48.0,2025-02-02,2025-03-04,wallet,66086.17,1321.72,237.91,64526.54,settled,False
42,PAY0000042,49.0,2025-01-21,2025-02-05,ota_collect,5031.68,100.63,18.11,4912.94,settled,False
43,PAY0000043,50.0,2025-02-01,2025-02-03,upi,4312.69,86.25,15.52,4210.92,settled,False
44,PAY0000044,51.0,2025-01-30,2025-02-14,upi,28153.44,563.07,101.35,27489.02,settled,False
45,PAY0000045,52.0,2025-02-03,2025-03-05,netbanking,13662.32,273.25,49.18,13339.89,settled,False
46,PAY0000046,53.0,2025-01-26,2025-01-28,upi,9085.62,181.71,32.71,8871.20,settled,False
47,PAY0000047,54.0,2025-01-27,2025-02-05,netbanking,4381.98,87.64,15.78,4278.56,settled,False
48,PAY0000048,55.0,2025-01-27,2025-02-11,upi,7142.60,142.85,25.71,6974.04,settled,False
49,PAY0000049,56.0,2025-01-12,2025-01-13,netbanking,7804.16,156.08,28.09,7619.99,settled,False
50,PAY0000050,57.0,2025-01-26,2025-02-10,upi,19475.08,389.50,70.11,19015.47,settled,False
51,PAY0000051,58.0,2025-01-14,2025-01-29,card,25308.65,506.17,91.11,24711.37,settled,False
52,PAY0000052,59.0,2025-02-01,2025-02-03,upi,15238.59,304.77,54.86,14878.96,settled,False
53,PAY0000053,60.0,2025-01-30,2025-02-08,cash,30582.40,0.00,0.00,30582.40,settled,False
54,PAY0000054,61.0,2025-02-03,2025-03-05,upi,4272.82,85.46,15.38,4171.98,settled,False
55,PAY0000055,62.0,2025-02-05,2025-02-07,upi,9326.99,186.54,33.58,9106.87,settled,False
56,PAY0000056,63.0,2025-01-31,2025-02-15,upi,9625.08,192.50,34.65,9397.93,settled,False
57,PAY0000057,64.0,2025-02-05,2025-02-12,upi,1152.16,23.04,4.15,1124.97,settled,False
58,PAY0000058,65.0,2025-02-04,2025-03-06,cash,7079.83,0.00,0.00,7079.83,settled,False
59,PAY0000059,66.0,2025-01-13,2025-01-22,upi,9486.68,189.73,34.15,9262.80,settled,False
60,PAY0000060,67.0,2025-01-30,2025-03-01,card,22789.02,455.78,82.04,22251.20,settled,False
61,PAY0000061,68.0,2025-01-13,2025-01-22,netbanking,4159.12,83.18,14.97,4060.97,settled,False
62,PAY0000062,70.0,2025-02-04,2025-03-06,upi,30968.56,619.37,111.49,30237.70,settled,False
63,PAY0000063,71.0,2025-01-20,2025-01-29,upi,23169.06,463.38,83.41,22622.27,settled,False
64,PAY0000064,72.0,2025-01-26,2025-02-04,card,7833.76,156.68,28.20,7648.88,settled,False
65,PAY0000065,73.0,2025-01-30,2025-02-01,card,24367.88,487.36,87.72,23792.80,settled,False
66,PAY0000066,74.0,2025-02-02,2025-03-04,upi,12627.43,252.55,45.46,12329.42,settled,False
67,PAY0000067,76.0,2025-01-27,2025-01-29,cash,3628.18,0.00,0.00,3628.18,settled,False
68,PAY0000068,77.0,2025-02-04,2025-02-13,upi,2989.05,59.78,10.76,2918.51,settled,False
69,PAY0000069,78.0,2025-01-09,2025-01-11,wallet,24821.30,496.43,89.36,24235.51,settled,False
70,PAY0000070,79.0,2025-02-08,2025-03-10,upi,30059.36,601.19,108.21,29349.96,settled,False
71,PAY0000071,80.0,2025-02-08,2025-02-10,upi,6105.17,122.10,21.98,5961.09,settled,False
72,PAY0000072,83.0,2024-11-30,2024-12-01,card,18279.75,365.60,65.81,17848.34,settled,False
73,PAY0000073,84.0,2025-02-07,2025-03-09,wallet,67015.09,1340.30,241.25,65433.54,settled,False
74,PAY0000074,85.0,2025-02-06,2025-03-08,card,67508.19,1350.16,243.03,65915.00,settled,False
75,PAY0000075,86.0,2025-02-04,2025-02-06,cash,4771.03,0.00,0.00,4771.03,settled,False
76,PAY0000076,87.0,2025-02-05,2025-03-07,upi,81307.80,1626.16,292.71,79388.93,settled,False
77,PAY0000077,88.0,2025-02-06,2025-02-08,card,30829.46,616.59,110.99,30101.88,settled,False
78,PAY0000078,90.0,2025-02-01,2025-03-03,ota_collect,9496.49,189.93,34.19,9272.37,settled,False
79,PAY0000079,91.0,2025-02-07,2025-03-09,card,11234.46,224.69,40.44,10969.33,settled,False
80,PAY0000080,92.0,2025-02-07,2025-03-09,upi,20974.04,419.48,75.51,20479.05,settled,False
81,PAY0000081,93.0,2025-02-10,2025-03-12,upi,15255.72,305.11,54.92,14895.69,settled,False
82,PAY0000082,94.0,2025-02-09,2025-02-09,upi,4767.79,95.36,17.16,4655.27,settled,False
83,PAY0000083,96.0,2025-01-31,2025-02-02,cash,5057.44,0.00,0.00,5057.44,settled,False
84,PAY0000084,97.0,2025-02-11,2025-02-18,card,1952.06,39.04,7.03,1905.99,settled,False
85,PAY0000085,98.0,2025-02-09,2025-02-11,card,3765.20,75.30,13.55,3676.35,settled,False
86,PAY0000086,99.0,2025-02-04,2025-03-06,upi,13799.08,275.98,49.68,13473.42,settled,False
87,PAY0000087,100.0,2025-02-04,2025-02-19,card,3462.26,69.25,12.46,3380.55,settled,False
88,PAY0000088,101.0,2025-01-27,2025-02-26,upi,4851.42,97.03,17.47,4736.92,settled,False
89,PAY0000089,102.0,2025-01-29,2025-02-28,netbanking,111968.85,2239.38,403.09,109326.38,settled,False
90,PAY0000090,103.0,2025-01-30,2025-01-31,ota_collect,4251.06,85.02,15.30,4150.74,settled,False
91,PAY0000091,104.0,2025-02-08,2025-02-10,wallet,3759.98,75.20,13.54,3671.24,settled,False
92,PAY0000092,105.0,2025-01-29,2025-02-28,card,73913.49,1478.27,266.09,72169.13,settled,False
93,PAY0000093,106.0,2025-02-12,2025-02-19,ota_collect,2003.06,40.06,7.21,1955.79,settled,False
94,PAY0000094,107.0,2025-02-07,2025-02-08,card,11283.06,225.66,40.62,11016.78,settled,False
95,PAY0000095,109.0,2024-12-18,2025-01-02,upi,8264.44,165.29,29.75,8069.40,settled,False
96,PAY0000096,110.0,2025-01-01,2025-01-16,ota_collect,4436.20,88.72,15.97,4331.51,settled,False
97,PAY0000097,,2025-01-31,2025-03-02,card,4361.37,87.23,15.70,4258.44,settled,True
98,PAY0000098,112.0,2025-02-02,2025-02-04,card,33783.45,675.67,121.62,32986.16,settled,False
99,PAY0000099,114.0,2025-01-27,2025-02-11,card,27391.20,547.82,98.61,26744.77,settled,False
100,PAY0000100,115.0,2025-02-08,2025-03-10,upi,82763.52,1655.27,297.95,80810.30,settled,False
101,PAY0000101,116.0,2025-01-25,2025-01-27,ota_collect,3984.52,79.69,14.34,3890.49,settled,False
102,PAY0000102,117.0,2025-02-10,2025-02-25,ota_collect,4256.93,85.14,15.33,4156.46,settled,False
103,PAY0000103,118.0,2025-01-28,2025-02-27,upi,49352.50,987.05,177.67,48187.78,settled,False
104,PAY0000104,119.0,2025-02-07,2025-02-16,wallet,4837.07,96.74,17.41,4722.92,settled,False
105,PAY0000105,121.0,2025-02-07,2025-02-16,netbanking,15614.08,312.28,56.21,15245.59,settled,False
106,PAY0000106,122.0,2025-02-13,2025-03-15,upi,13108.17,262.16,47.19,12798.82,settled,False
107,PAY0000107,123.0,2025-01-26,2025-02-04,upi,6636.52,132.73,23.89,6479.90,settled,False
108,PAY0000108,124.0,2025-02-14,2025-02-21,upi,1094.43,21.89,3.94,1068.60,settled,False
109,PAY0000109,,2025-02-06,2025-02-15,ota_collect,4425.91,88.52,15.93,4321.46,settled,True
110,PAY0000110,126.0,2024-12-10,2024-12-19,cash,3531.73,0.00,0.00,3531.73,settled,False
111,PAY0000111,127.0,2025-02-10,2025-02-12,card,12365.64,247.31,44.52,12073.81,settled,False
112,PAY0000112,128.0,2025-02-15,2025-02-15,netbanking,4466.51,89.33,16.08,4361.10,settled,False
113,PAY0000113,129.0,2025-02-15,2025-02-17,ota_collect,11559.03,231.18,41.61,11286.24,settled,False
114,PAY0000114,130.0,2024-12-14,2024-12-15,upi,3849.15,76.98,13.86,3758.31,settled,False
115,PAY0000115,131.0,2025-02-12,2025-02-14,upi,6545.54,130.91,23.56,6391.07,settled,False
116,PAY0000116,132.0,2025-01-27,2025-02-05,ota_collect,12347.21,246.94,44.45,12055.82,settled,False
117,PAY0000117,133.0,2025-02-08,2025-02-10,cash,20732.70,0.00,0.00,20732.70,settled,False
118,PAY0000118,134.0,2025-02-13,2025-03-15,card,12349.50,246.99,44.46,12058.05,settled,False
119,PAY0000119,135.0,2025-02-11,2025-03-13,card,64475.56,1289.51,232.11,62953.94,settled,False
120,PAY0000120,136.0,2025-02-06,2025-02-15,card,4871.78,97.44,17.54,4756.80,settled,False
121,PAY0000121,138.0,2025-02-07,2025-02-09,card,5186.57,103.73,18.67,5064.17,settled,False
122,PAY0000122,141.0,2025-02-12,2025-02-14,upi,6877.97,137.56,24.76,6715.65,settled,False
123,PAY0000123,143.0,2025-01-02,2025-01-11,ota_collect,30494.22,609.88,109.78,29774.56,settled,False
124,PAY0000124,144.0,2025-02-12,2025-02-27,wallet,21407.16,428.14,77.07,20901.95,settled,False
125,PAY0000125,145.0,2025-02-17,2025-02-24,card,1435.55,28.71,5.17,1401.67,settled,False
126,PAY0000126,146.0,2025-01-23,2025-02-07,upi,4218.67,84.37,15.19,4119.11,settled,False
127,PAY0000127,147.0,2025-02-11,2025-03-13,ota_collect,23826.75,476.54,85.78,23264.43,settled,False
128,PAY0000128,148.0,2025-02-17,2025-02-24,upi,2361.81,47.24,8.50,2306.07,settled,False
129,PAY0000129,149.0,2025-02-13,2025-02-14,card,30069.04,601.38,108.25,29359.41,settled,False
130,PAY0000130,151.0,2025-02-08,2025-03-10,card,4741.62,94.83,17.07,4629.72,settled,False
131,PAY0000131,152.0,2025-02-18,2025-03-05,upi,14609.60,292.19,52.59,14264.82,settled,False
132,PAY0000132,153.0,2025-01-30,2025-02-14,upi,16463.00,329.26,59.27,16074.47,settled,False
133,PAY0000133,154.0,2025-02-18,2025-02-25,ota_collect,1555.78,31.12,5.60,1519.06,settled,False
134,PAY0000134,155.0,2025-02-18,2025-02-27,upi,8764.32,175.29,31.55,8557.48,settled,False
135,PAY0000135,156.0,2025-02-20,2025-02-20,upi,3655.99,73.12,13.16,3569.71,settled,False
136,PAY0000136,160.0,2025-01-01,2025-01-10,upi,3757.63,75.15,13.53,3668.95,settled,False
137,PAY0000137,161.0,2025-02-20,2025-02-27,upi,1216.15,24.32,4.38,1187.45,settled,False
138,PAY0000138,163.0,2025-01-16,2025-01-25,wallet,14453.77,289.08,52.03,14112.66,settled,False
139,PAY0000139,164.0,2025-02-18,2025-02-27,netbanking,4405.81,88.12,15.86,4301.83,settled,False
140,PAY0000140,165.0,2025-01-28,2025-02-12,card,6441.93,128.84,23.19,6289.90,settled,False
141,PAY0000141,166.0,2025-02-10,2025-02-25,ota_collect,6635.23,132.70,23.89,6478.64,settled,False
142,PAY0000142,167.0,2025-02-17,2025-02-26,ota_collect,12611.40,252.23,45.40,12313.77,settled,False
143,PAY0000143,168.0,2025-02-16,2025-03-18,upi,8093.68,161.87,29.14,7902.67,settled,False
144,PAY0000144,169.0,2025-02-02,2025-02-11,wallet,4587.48,91.75,16.52,4479.21,settled,False
145,PAY0000145,171.0,2025-02-16,2025-02-18,ota_collect,3915.79,78.32,14.10,3823.37,settled,False
146,PAY0000146,172.0,2025-02-17,2025-03-19,upi,3534.23,70.68,12.72,3450.83,settled,False
147,PAY0000147,173.0,2025-02-22,2025-03-01,ota_collect,886.78,17.74,3.19,865.85,settled,False
148,PAY0000148,174.0,2025-02-19,2025-02-21,upi,28850.50,577.01,103.86,28169.63,settled,False
149,PAY0000149,175.0,2025-02-15,2025-02-24,netbanking,6102.19,122.04,21.97,5958.18,settled,False
150,PAY0000150,176.0,2025-02-23,2025-03-02,upi,1363.14,27.26,4.91,1330.97,settled,False
151,PAY0000151,177.0,2025-01-26,2025-02-04,card,7168.20,143.36,25.80,6999.04,settled,False
152,PAY0000152,,2025-02-08,2025-02-23,upi,4464.91,89.30,16.07,4359.54,settled,True
153,PAY0000153,179.0,2025-01-27,2025-02-05,upi,18630.63,372.61,67.07,18190.95,settled,False
154,PAY0000154,180.0,2025-02-12,2025-02-27,card,9561.14,191.22,34.42,9335.50,settled,False
155,PAY0000155,181.0,2025-01-27,2025-01-28,upi,22256.52,445.13,80.12,21731.27,settled,False
156,PAY0000156,182.0,2025-02-12,2025-02-13,card,6770.59,135.41,24.37,6610.81,settled,False
157,PAY0000157,183.0,2025-02-20,2025-03-07,ota_collect,4219.76,84.40,15.19,4120.17,settled,False
158,PAY0000158,184.0,2025-02-15,2025-02-24,card,8911.98,178.24,32.08,8701.66,settled,False
159,PAY0000159,186.0,2025-02-06,2025-02-08,wallet,3805.65,76.11,13.70,3715.84,settled,False
160,PAY0000160,188.0,2025-02-21,2025-03-23,upi,14713.07,294.26,52.97,14365.84,settled,False
161,PAY0000161,189.0,2025-02-20,2025-03-22,card,27629.28,552.59,99.47,26977.22,settled,False
162,PAY0000162,190.0,2025-02-13,2025-02-15,upi,4658.54,93.17,16.77,4548.60,settled,False
163,PAY0000163,192.0,2025-01-27,2025-01-29,ota_collect,8471.04,169.42,30.50,8271.12,settled,False
164,PAY0000164,193.0,2025-02-21,2025-03-23,wallet,5368.51,107.37,19.33,5241.81,settled,False
165,PAY0000165,194.0,2025-02-23,2025-03-02,upi,1033.50,20.67,3.72,1009.11,settled,False
166,PAY0000166,196.0,2025-02-17,2025-03-19,upi,4779.08,95.58,17.20,4666.30,settled,False
167,PAY0000167,197.0,2025-02-25,2025-03-04,upi,1160.81,23.22,4.18,1133.41,settled,False
168,PAY0000168,198.0,2025-02-21,2025-03-08,ota_collect,20815.50,416.31,74.94,20324.25,settled,False
169,PAY0000169,199.0,2025-02-09,2025-02-11,upi,20338.89,406.78,73.22,19858.89,settled,False
170,PAY0000170,200.0,2025-01-20,2025-02-19,card,115234.35,2304.69,414.84,112514.82,settled,False
171,PAY0000171,201.0,2025-02-18,2025-03-05,ota_collect,8991.46,179.83,32.37,8779.26,settled,False
172,PAY0000172,202.0,2025-01-21,2025-01-30,upi,14568.36,291.37,52.45,14224.54,settled,False
173,PAY0000173,203.0,2025-02-24,2025-03-03,upi,1125.34,22.51,4.05,1098.78,settled,False
174,PAY0000174,204.0,2025-02-06,2025-03-08,upi,5259.57,105.19,18.93,5135.45,settled,False
175,PAY0000175,205.0,2025-02-07,2025-02-08,upi,10835.01,216.70,39.01,10579.30,settled,False
176,PAY0000176,206.0,2025-02-25,2025-03-04,upi,2052.86,41.06,7.39,2004.41,settled,False
177,PAY0000177,209.0,2025-02-04,2025-03-06,upi,5055.67,101.11,18.20,4936.36,settled,False
178,PAY0000178,210.0,2025-02-14,2025-03-16,card,32593.68,651.87,117.34,31824.47,settled,False
179,PAY0000179,213.0,2025-02-18,2025-02-20,wallet,3892.95,77.86,14.01,3801.08,settled,False
180,PAY0000180,214.0,2025-02-27,2025-03-06,ota_collect,1893.01,37.86,6.81,1848.34,settled,False
181,PAY0000181,215.0,2025-02-27,2025-03-06,card,1215.58,24.31,4.38,1186.89,settled,False
182,PAY0000182,216.0,2025-02-14,2025-02-15,upi,8337.16,166.74,30.01,8140.41,settled,False
183,PAY0000183,217.0,2025-01-30,2025-02-08,upi,3297.54,65.95,11.87,3219.72,settled,False
184,PAY0000184,218.0,2025-02-18,2025-02-27,upi,13354.00,267.08,48.07,13038.85,settled,False
185,PAY0000185,219.0,2025-01-13,2025-01-15,ota_collect,19517.71,390.35,70.26,19057.10,settled,False
186,PAY0000186,220.0,2025-01-22,2025-02-21,card,6374.73,127.49,22.95,6224.29,settled,False
187,PAY0000187,221.0,2025-02-18,2025-02-27,ota_collect,4094.61,81.89,14.74,3997.98,settled,False
188,PAY0000188,223.0,2025-02-24,2025-02-25,upi,5298.50,105.97,19.07,5173.46,settled,False
189,PAY0000189,224.0,2025-02-22,2025-03-09,ota_collect,9740.47,194.81,35.07,9510.59,settled,False
190,PAY0000190,225.0,2025-01-28,2025-02-06,card,14116.90,282.34,50.82,13783.74,settled,False
191,PAY0000191,226.0,2025-02-20,2025-03-07,wallet,28534.38,570.69,102.72,27860.97,settled,False
192,PAY0000192,227.0,2025-02-25,2025-02-27,ota_collect,4081.28,81.63,14.69,3984.96,settled,False
193,PAY0000193,228.0,2025-02-19,2025-03-21,cash,8065.35,0.00,0.00,8065.35,settled,False
194,PAY0000194,229.0,2025-02-28,2025-03-30,card,6341.42,126.83,22.83,6191.76,settled,False
195,PAY0000195,230.0,2025-02-26,2025-03-28,card,28565.65,571.31,102.84,27891.50,settled,False
196,PAY0000196,231.0,2025-02-25,2025-03-06,netbanking,3278.42,65.57,11.80,3201.05,settled,False
197,PAY0000197,232.0,2025-02-15,2025-03-02,ota_collect,4091.42,81.83,14.73,3994.86,settled,False
198,PAY0000198,233.0,2025-02-16,2025-02-18,upi,7870.01,157.40,28.33,7684.28,settled,False
199,PAY0000199,234.0,2025-03-02,2025-03-09,ota_collect,1128.00,22.56,4.06,1101.38,settled,False
200,PAY0000200,235.0,2025-02-15,2025-03-17,upi,3965.14,79.30,14.27,3871.57,settled,False
201,PAY0000201,236.0,2025-02-28,2025-03-30,card,45117.96,902.36,162.42,44053.18,settled,False
202,PAY0000202,237.0,2025-02-25,2025-03-06,wallet,19434.48,388.69,69.96,18975.83,settled,False
203,PAY0000203,238.0,2025-02-22,2025-03-24,netbanking,14156.91,283.14,50.97,13822.80,settled,False
204,PAY0000204,239.0,2025-02-24,2025-02-26,card,14702.64,294.05,52.93,14355.66,settled,False
205,PAY0000205,,2025-02-27,2025-03-08,upi,17973.60,359.47,64.70,17549.43,settled,True
206,PAY0000206,241.0,2025-02-17,2025-03-04,card,7928.76,158.58,28.54,7741.64,settled,False
207,PAY0000207,242.0,2025-02-05,2025-02-20,ota_collect,7416.12,148.32,26.70,7241.10,settled,False
208,PAY0000208,243.0,2025-02-27,2025-03-14,ota_collect,25628.22,512.56,92.26,25023.40,settled,False
209,PAY0000209,244.0,2025-03-01,2025-03-31,ota_collect,46363.35,927.27,166.91,45269.17,settled,False
210,PAY0000210,245.0,2025-02-27,2025-03-29,card,7671.86,153.44,27.62,7490.80,settled,False
211,PAY0000211,246.0,2025-02-21,2025-03-23,ota_collect,6209.66,124.19,22.35,6063.12,settled,False
212,PAY0000212,247.0,2025-02-14,2025-03-01,ota_collect,21831.33,436.63,78.59,21316.11,settled,False
213,PAY0000213,248.0,2025-02-21,2025-03-23,upi,5461.67,109.23,19.66,5332.78,settled,False
214,PAY0000214,249.0,2025-02-28,2025-03-02,card,33448.40,668.97,120.41,32659.02,settled,False
215,PAY0000215,250.0,2025-02-26,2025-02-28,card,3578.60,71.57,12.88,3494.15,settled,False
216,PAY0000216,251.0,2025-03-03,2025-04-02,upi,3508.43,70.17,12.63,3425.63,settled,False
217,PAY0000217,252.0,2025-02-26,2025-03-28,upi,29029.38,580.59,104.51,28344.28,settled,False
218,PAY0000218,253.0,2025-03-02,2025-04-01,upi,63554.09,1271.08,228.79,62054.22,settled,False
219,PAY0000219,254.0,2025-03-04,2025-03-11,ota_collect,1487.82,29.76,5.36,1452.70,settled,False
220,PAY0000220,255.0,2025-03-03,2025-03-10,netbanking,2063.67,41.27,7.43,2014.97,settled,False
221,PAY0000221,257.0,2025-02-21,2025-03-02,netbanking,3509.37,70.19,12.63,3426.55,settled,False
222,PAY0000222,258.0,2025-03-04,2025-03-11,card,1461.89,29.24,5.26,1427.39,settled,False
223,PAY0000223,259.0,2025-02-28,2025-03-02,wallet,7458.91,149.18,26.85,7282.88,settled,False
224,PAY0000224,261.0,2025-03-01,2025-03-16,upi,3561.68,71.23,12.82,3477.63,settled,False
225,PAY0000225,262.0,2025-03-05,2025-03-12,upi,1681.39,33.63,6.05,1641.71,settled,False
226,PAY0000226,263.0,2025-02-27,2025-03-29,card,92906.75,1858.13,334.46,90714.16,settled,False
227,PAY0000227,265.0,2025-02-27,2025-03-29,upi,31012.49,620.25,111.64,30280.60,settled,False
228,PAY0000228,266.0,2025-02-21,2025-02-23,cash,4359.73,0.00,0.00,4359.73,settled,False
229,PAY0000229,267.0,2025-02-28,2025-03-02,netbanking,4020.68,80.41,14.47,3925.80,settled,False
230,PAY0000230,270.0,2025-02-21,2025-03-08,ota_collect,4462.76,89.26,16.07,4357.43,settled,False
231,PAY0000231,271.0,2025-03-03,2025-03-18,card,11052.64,221.05,39.79,10791.80,settled,False
232,PAY0000232,272.0,2025-03-06,2025-03-13,wallet,1838.57,36.77,6.62,1795.18,settled,False
233,PAY0000233,273.0,2025-03-01,2025-03-03,netbanking,35705.85,714.12,128.54,34863.19,settled,False
234,PAY0000234,275.0,2025-03-04,2025-04-03,ota_collect,15573.68,311.47,56.06,15206.15,settled,False
235,PAY0000235,276.0,2025-02-07,2025-02-16,ota_collect,8149.73,162.99,29.34,7957.40,settled,False
236,PAY0000236,277.0,2025-02-22,2025-03-24,ota_collect,7699.63,153.99,27.72,7517.92,settled,False
237,PAY0000237,279.0,2025-03-06,2025-03-08,ota_collect,3461.88,69.24,12.46,3380.18,settled,False
238,PAY0000238,280.0,2025-03-02,2025-04-01,ota_collect,12581.46,251.63,45.29,12284.54,settled,False
239,PAY0000239,281.0,2025-03-02,2025-03-11,upi,5701.06,114.02,20.52,5566.52,settled,False
240,PAY0000240,282.0,2025-03-05,2025-04-04,upi,8620.14,172.40,31.03,8416.71,settled,False
241,PAY0000241,283.0,2025-03-02,2025-03-17,ota_collect,4981.60,99.63,17.93,4864.04,settled,False
242,PAY0000242,284.0,2025-02-18,2025-03-20,ota_collect,7448.42,148.97,26.81,7272.64,settled,False
243,PAY0000243,285.0,2025-02-27,2025-03-08,upi,9738.88,194.78,35.06,9509.04,settled,False
244,PAY0000244,287.0,2025-02-11,2025-02-20,upi,3161.06,63.22,11.38,3086.46,settled,False
245,PAY0000245,288.0,2025-02-28,2025-03-02,card,4388.52,87.77,15.80,4284.95,settled,False
246,PAY0000246,289.0,2025-02-22,2025-03-09,ota_collect,4565.65,91.31,16.44,4457.90,settled,False
247,PAY0000247,290.0,2025-03-02,2025-03-04,wallet,6392.05,127.84,23.01,6241.20,settled,False
248,PAY0000248,291.0,2025-03-06,2025-03-07,card,42345.54,846.91,152.44,41346.19,settled,False
249,PAY0000249,292.0,2025-03-08,2025-03-15,card,1268.48,25.37,4.57,1238.54,settled,False
250,PAY0000250,293.0,2025-02-13,2025-03-15,netbanking,7289.01,145.78,26.24,7116.99,settled,False
251,PAY0000251,294.0,2025-02-27,2025-03-01,upi,23858.48,477.17,85.89,23295.42,settled,False
252,PAY0000252,296.0,2025-03-08,2025-04-07,netbanking,92440.53,1848.81,332.79,90258.93,settled,False
253,PAY0000253,297.0,2025-03-07,2025-04-06,netbanking,9938.63,198.77,35.78,9704.08,settled,False
254,PAY0000254,298.0,2025-03-07,2025-03-14,ota_collect,1154.96,23.10,4.16,1127.70,settled,False
255,PAY0000255,299.0,2025-03-06,2025-03-21,card,3686.59,73.73,13.27,3599.59,settled,False
256,PAY0000256,303.0,2025-03-07,2025-04-06,ota_collect,51528.54,1030.57,185.50,50312.47,settled,False
257,PAY0000257,304.0,2025-03-09,2025-04-08,ota_collect,22831.14,456.62,82.19,22292.33,settled,False
